"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2024 00:00 - 01/01/2024 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 00:00 - 01/01/2024 01:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"01/01/2024 00:00 - 01/01/2024 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 00:00 - 01/01/2024 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 01:00 - 01/01/2024 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 01:00 - 01/01/2024 02:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"01/01/2024 01:00 - 01/01/2024 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 01:00 - 01/01/2024 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 02:00 - 01/01/2024 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 02:00 - 01/01/2024 03:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"01/01/2024 02:00 - 01/01/2024 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 02:00 - 01/01/2024 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 03:00 - 01/01/2024 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 03:00 - 01/01/2024 04:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"01/01/2024 03:00 - 01/01/2024 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 03:00 - 01/01/2024 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 04:00 - 01/01/2024 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 04:00 - 01/01/2024 05:00","MBA|NO1","aFRR","39.00","14.11","75.00","3.55"
"01/01/2024 04:00 - 01/01/2024 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 04:00 - 01/01/2024 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 05:00 - 01/01/2024 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 05:00 - 01/01/2024 06:00","MBA|NO1","aFRR","44.00","17.61","75.00","7.21"
"01/01/2024 05:00 - 01/01/2024 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 05:00 - 01/01/2024 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 06:00 - 01/01/2024 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 06:00 - 01/01/2024 07:00","MBA|NO1","aFRR","60.00","0.00","75.00","58.27"
"01/01/2024 06:00 - 01/01/2024 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 06:00 - 01/01/2024 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 07:00 - 01/01/2024 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 07:00 - 01/01/2024 08:00","MBA|NO1","aFRR","15.00","0.00","75.00","67.09"
"01/01/2024 07:00 - 01/01/2024 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 07:00 - 01/01/2024 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 08:00 - 01/01/2024 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 08:00 - 01/01/2024 09:00","MBA|NO1","aFRR","0.00","0.00","21.00","17.48"
"01/01/2024 08:00 - 01/01/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 08:00 - 01/01/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 09:00 - 01/01/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 09:00 - 01/01/2024 10:00","MBA|NO1","aFRR","0.00","0.00","21.00","18.25"
"01/01/2024 09:00 - 01/01/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 09:00 - 01/01/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 10:00 - 01/01/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 10:00 - 01/01/2024 11:00","MBA|NO1","aFRR","0.00","0.00","11.00","3.58"
"01/01/2024 10:00 - 01/01/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 10:00 - 01/01/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 11:00 - 01/01/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 11:00 - 01/01/2024 12:00","MBA|NO1","aFRR","0.00","0.00","11.00","0.00"
"01/01/2024 11:00 - 01/01/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 11:00 - 01/01/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 12:00 - 01/01/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 12:00 - 01/01/2024 13:00","MBA|NO1","aFRR","0.00","0.00","15.00","0.66"
"01/01/2024 12:00 - 01/01/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 12:00 - 01/01/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 13:00 - 01/01/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 13:00 - 01/01/2024 14:00","MBA|NO1","aFRR","0.00","0.00","11.00","0.00"
"01/01/2024 13:00 - 01/01/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 13:00 - 01/01/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 14:00 - 01/01/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 14:00 - 01/01/2024 15:00","MBA|NO1","aFRR","20.00","9.59","30.00","3.43"
"01/01/2024 14:00 - 01/01/2024 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 14:00 - 01/01/2024 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 15:00 - 01/01/2024 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 15:00 - 01/01/2024 16:00","MBA|NO1","aFRR","20.00","18.67","0.00","0.00"
"01/01/2024 15:00 - 01/01/2024 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 15:00 - 01/01/2024 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 16:00 - 01/01/2024 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 16:00 - 01/01/2024 17:00","MBA|NO1","aFRR","20.00","16.78","0.00","0.00"
"01/01/2024 16:00 - 01/01/2024 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 16:00 - 01/01/2024 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 17:00 - 01/01/2024 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 17:00 - 01/01/2024 18:00","MBA|NO1","aFRR","20.00","0.00","0.00","0.00"
"01/01/2024 17:00 - 01/01/2024 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 17:00 - 01/01/2024 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 18:00 - 01/01/2024 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 18:00 - 01/01/2024 19:00","MBA|NO1","aFRR","20.00","0.29","45.00","30.86"
"01/01/2024 18:00 - 01/01/2024 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 18:00 - 01/01/2024 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 19:00 - 01/01/2024 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 19:00 - 01/01/2024 20:00","MBA|NO1","aFRR","20.00","1.89","21.00","9.21"
"01/01/2024 19:00 - 01/01/2024 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 19:00 - 01/01/2024 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 20:00 - 01/01/2024 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 20:00 - 01/01/2024 21:00","MBA|NO1","aFRR","0.00","0.00","45.00","15.16"
"01/01/2024 20:00 - 01/01/2024 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 20:00 - 01/01/2024 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 21:00 - 01/01/2024 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 21:00 - 01/01/2024 22:00","MBA|NO1","aFRR","0.00","0.00","45.00","15.62"
"01/01/2024 21:00 - 01/01/2024 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 21:00 - 01/01/2024 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 22:00 - 01/01/2024 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 22:00 - 01/01/2024 23:00","MBA|NO1","aFRR","0.00","0.00","45.00","39.93"
"01/01/2024 22:00 - 01/01/2024 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2024 22:00 - 01/01/2024 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2024 23:00 - 02/01/2024 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2024 23:00 - 02/01/2024 00:00","MBA|NO1","aFRR","0.00","0.00","56.00","38.64"
"01/01/2024 23:00 - 02/01/2024 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
