Delivery Start (CET);Delivery End (CET);NO2 Accepted Down Volume (MW);NO2 Accepted Up Volume (MW);NO2 Activated Down Volume (MW);NO2 Activated Up Volume (MW);NO2 Down Price (EUR);NO2 Imbalance Price (EUR);NO2 Up Price (EUR)
01.01.2024 00:00:00;01.01.2024 00:15:00;1191;5708;0;0;53.79;55;55
01.01.2024 00:15:00;01.01.2024 00:30:00;1191;5708;0;0;53.79;55;55
01.01.2024 00:30:00;01.01.2024 00:45:00;1191;5708;0;0;53.79;55;55
01.01.2024 00:45:00;01.01.2024 01:00:00;1191;5708;0;0;53.79;55;55
01.01.2024 01:00:00;01.01.2024 01:15:00;910;6152;0;0;48.98;53.87;53.87
01.01.2024 01:15:00;01.01.2024 01:30:00;910;6152;0;0;48.98;53.87;53.87
01.01.2024 01:30:00;01.01.2024 01:45:00;910;6152;0;0;48.98;53.87;53.87
01.01.2024 01:45:00;01.01.2024 02:00:00;910;6152;0;0;48.98;53.87;53.87
01.01.2024 02:00:00;01.01.2024 02:15:00;612;6649;0;0;27.45;53.87;53.87
01.01.2024 02:15:00;01.01.2024 02:30:00;612;6649;0;0;27.45;53.87;53.87
01.01.2024 02:30:00;01.01.2024 02:45:00;612;6649;0;0;27.45;53.87;53.87
01.01.2024 02:45:00;01.01.2024 03:00:00;612;6649;0;0;27.45;53.87;53.87
01.01.2024 03:00:00;01.01.2024 03:15:00;611;6649;0;0;24.48;24.48;24.48
01.01.2024 03:15:00;01.01.2024 03:30:00;611;6649;0;0;24.48;24.48;24.48
01.01.2024 03:30:00;01.01.2024 03:45:00;611;6649;0;0;24.48;24.48;24.48
01.01.2024 03:45:00;01.01.2024 04:00:00;611;6649;0;0;24.48;24.48;24.48
01.01.2024 04:00:00;01.01.2024 04:15:00;605;6649;0;0;24.01;36;36
01.01.2024 04:15:00;01.01.2024 04:30:00;605;6649;0;0;24.01;36;36
01.01.2024 04:30:00;01.01.2024 04:45:00;605;6649;0;0;24.01;36;36
01.01.2024 04:45:00;01.01.2024 05:00:00;605;6649;0;0;24.01;36;36
01.01.2024 05:00:00;01.01.2024 05:15:00;589;7020;0;0;21.23;36;36
01.01.2024 05:15:00;01.01.2024 05:30:00;589;7020;0;0;21.23;36;36
01.01.2024 05:30:00;01.01.2024 05:45:00;589;7020;0;0;21.23;36;36
01.01.2024 05:45:00;01.01.2024 06:00:00;589;7020;0;0;21.23;36;36
01.01.2024 06:00:00;01.01.2024 06:15:00;608;7015;0;0;22.62;40.11;40.11
01.01.2024 06:15:00;01.01.2024 06:30:00;608;7015;0;0;22.62;40.11;40.11
01.01.2024 06:30:00;01.01.2024 06:45:00;608;7015;0;0;22.62;40.11;40.11
01.01.2024 06:45:00;01.01.2024 07:00:00;608;7015;0;0;22.62;40.11;40.11
