Delivery Start (CET);Delivery End (CET);SE2 Accepted Down Volume (MW);SE2 Accepted Up Volume (MW);SE2 Activated Down Volume (MW);SE2 Activated Up Volume (MW);SE2 Down Price (EUR);SE2 Imbalance Price (EUR);SE2 Up Price (EUR)
01.01.2025 00:00:00;01.01.2025 01:00:00;1061;837;5;0;2;2;4.55
01.01.2025 01:00:00;01.01.2025 02:00:00;1001;896;5;0;2;2;3.69
01.01.2025 02:00:00;01.01.2025 03:00:00;1025;881;5;0;2;2;3.55
01.01.2025 03:00:00;01.01.2025 04:00:00;867;1020;0;0;3;3;3.19
01.01.2025 04:00:00;01.01.2025 05:00:00;910;982;0;0;3;3;3.15
01.01.2025 05:00:00;01.01.2025 06:00:00;986;895;0;0;3.68;3.68;3.68
01.01.2025 06:00:00;01.01.2025 07:00:00;1020;887;2;0;2;2;3.21
01.01.2025 07:00:00;01.01.2025 08:00:00;1066;877;93;0;-1.98;-1.98;3.48
01.01.2025 08:00:00;01.01.2025 09:00:00;1176;783;156;0;-1;-1;4.32
01.01.2025 09:00:00;01.01.2025 10:00:00;1415;534;187;0;0;0;4.77
01.01.2025 10:00:00;01.01.2025 11:00:00;1416;541;325;0;-2;-2;5.89
01.01.2025 11:00:00;01.01.2025 12:00:00;1571;538;285;0;-1;-1;5.98
01.01.2025 12:00:00;01.01.2025 13:00:00;1625;556;7;0;2;2;5.9
01.01.2025 13:00:00;01.01.2025 14:00:00;1670;472;0;0;5.94;5.94;5.94
01.01.2025 14:00:00;01.01.2025 15:00:00;1638;436;2;0;4.5;4.5;7.28
01.01.2025 15:00:00;01.01.2025 16:00:00;1909;209;22;0;4.5;4.5;12.37
01.01.2025 16:00:00;01.01.2025 17:00:00;1907;180;404;0;-2;-2;17.85
01.01.2025 17:00:00;01.01.2025 18:00:00;1910;179;680;0;-4.83;-4.83;18.87
01.01.2025 18:00:00;01.01.2025 19:00:00;1816;417;505;0;-3.62;-3.62;14.98
01.01.2025 19:00:00;01.01.2025 20:00:00;1764;430;425;0;-3.62;-3.62;9.78
01.01.2025 20:00:00;01.01.2025 21:00:00;1686;329;405;0;-3.57;-3.57;8.21
01.01.2025 21:00:00;01.01.2025 22:00:00;1792;286;618;0;-6.85;-6.85;7.19
01.01.2025 22:00:00;01.01.2025 23:00:00;1785;310;362;0;-5;-5;9.26
01.01.2025 23:00:00;02.01.2025 00:00:00;1611;385;343;0;-2;-2;7.1
02.01.2025 00:00:00;02.01.2025 01:00:00;1276;547;36;0;-2;-2;4.55
02.01.2025 01:00:00;02.01.2025 02:00:00;1248;576;65;0;1;1;4.41
02.01.2025 02:00:00;02.01.2025 03:00:00;1271;593;55;0;1;1;4.88
02.01.2025 03:00:00;02.01.2025 04:00:00;1315;533;391;0;-7.91;-7.91;6.2
02.01.2025 04:00:00;02.01.2025 05:00:00;1295;538;376;0;-7.91;-7.91;5.89
02.01.2025 05:00:00;02.01.2025 06:00:00;1266;514;178;0;-2.52;-2.52;5.96
02.01.2025 06:00:00;02.01.2025 07:00:00;1429;419;35;0;1;1;6.62
02.01.2025 07:00:00;02.01.2025 08:00:00;1352;435;78;0;1;1;5.94
02.01.2025 08:00:00;02.01.2025 09:00:00;1357;446;144;0;-1;-1;6.01
02.01.2025 09:00:00;02.01.2025 10:00:00;1361;495;393;0;-6.46;-6.46;6.03
02.01.2025 10:00:00;02.01.2025 11:00:00;1368;521;187;0;-5.52;-5.52;5.56
02.01.2025 11:00:00;02.01.2025 12:00:00;1325;558;153;0;-1;-1;5.6
02.01.2025 12:00:00;02.01.2025 13:00:00;1353;524;208;0;-5;-5;5.66
02.01.2025 13:00:00;02.01.2025 14:00:00;1405;500;486;0;-7;-7;5.39
02.01.2025 14:00:00;02.01.2025 15:00:00;1322;515;349;0;-7;-7;5.33
02.01.2025 15:00:00;02.01.2025 16:00:00;1433;493;282;0;-6.52;-6.52;5.2
02.01.2025 16:00:00;02.01.2025 17:00:00;1493;471;299;0;-6;-6;5.55
02.01.2025 17:00:00;02.01.2025 18:00:00;1538;441;266;0;-3;-3;5.4
02.01.2025 18:00:00;02.01.2025 19:00:00;1461;430;81;0;0;0;5.33
02.01.2025 19:00:00;02.01.2025 20:00:00;1497;434;86;0;0;0;5.39
02.01.2025 20:00:00;02.01.2025 21:00:00;1485;452;86;0;0;0;5.38
02.01.2025 21:00:00;02.01.2025 22:00:00;1465;442;86;0;0;0;5.34
02.01.2025 22:00:00;02.01.2025 23:00:00;1634;375;160;0;0;0;7.28
02.01.2025 23:00:00;03.01.2025 00:00:00;1560;368;21;0;1;1;7.44
03.01.2025 00:00:00;03.01.2025 01:00:00;1420;345;18;0;0.5;0.5;5.69
03.01.2025 01:00:00;03.01.2025 02:00:00;1404;372;23;0;0.5;0.5;5.98
03.01.2025 02:00:00;03.01.2025 03:00:00;1493;318;33;0;0.5;0.5;6.39
03.01.2025 03:00:00;03.01.2025 04:00:00;1762;203;68;0;0.5;0.5;9.1
03.01.2025 04:00:00;03.01.2025 05:00:00;1843;199;102;0;0.5;0.5;14.43
03.01.2025 05:00:00;03.01.2025 06:00:00;1816;140;119;0;0.5;0.5;15.7
03.01.2025 06:00:00;03.01.2025 07:00:00;1822;112;58;0;3;3;16.65
03.01.2025 07:00:00;03.01.2025 08:00:00;1935;140;30;0;4;4;16.5
03.01.2025 08:00:00;03.01.2025 09:00:00;1977;150;30;0;4;4;16.58
03.01.2025 09:00:00;03.01.2025 10:00:00;1960;169;30;0;4;4;24.2
03.01.2025 10:00:00;03.01.2025 11:00:00;1947;185;30;0;4;4;15.3
03.01.2025 11:00:00;03.01.2025 12:00:00;1938;166;90;0;-0.5;-0.5;19.45
03.01.2025 12:00:00;03.01.2025 13:00:00;1872;243;154;0;-3.39;-3.39;13.23
03.01.2025 13:00:00;03.01.2025 14:00:00;1767;254;289;0;-3.39;-3.39;14.11
03.01.2025 14:00:00;03.01.2025 15:00:00;1747;221;349;0;-5;-5;11.36
03.01.2025 15:00:00;03.01.2025 16:00:00;1681;256;893;0;-14.04;-14.04;12.28
03.01.2025 16:00:00;03.01.2025 17:00:00;1676;251;758;0;-14.05;-14.05;13.46
03.01.2025 17:00:00;03.01.2025 18:00:00;1657;266;680;0;-8;-8;9.45
03.01.2025 18:00:00;03.01.2025 19:00:00;1631;392;643;0;-8;-8;9.05
03.01.2025 19:00:00;03.01.2025 20:00:00;1582;365;437;0;-7;-7;7.49
03.01.2025 20:00:00;03.01.2025 21:00:00;1471;399;348;0;-7;-7;5.91
03.01.2025 21:00:00;03.01.2025 22:00:00;1389;508;242;0;-5;-5;5.93
03.01.2025 22:00:00;03.01.2025 23:00:00;1373;509;353;0;-9.81;-9.81;5.38
03.01.2025 23:00:00;04.01.2025 00:00:00;1357;499;790;0;-13;-13;5
