Delivery Start (CET);Delivery End (CET);NO2 NO2->DK1 Export (MW);NO2 DK1->NO2 Import (MW);NO2 NO2->GER Export (MW);NO2 GER->NO2 Import (MW);NO2 NO2->NL Export (MW);NO2 NL->NO2 Import (MW);NO2 NO2->NO1 Export (MW);NO2 NO1->NO2 Import (MW);NO2 NO2->NO5 Export (MW);NO2 NO5->NO2 Import (MW);NO2 Total Export (MW);NO2 Total Import (MW);NO2 Total Net Position (MW)
30.10.2024 00:00:00;30.10.2024 01:00:00;1680;0;1444;0;640;0;0;1954.3;0;679;3764;2633.3;-1130.7
30.10.2024 01:00:00;30.10.2024 02:00:00;1680;0;1238;0;640;0;0;2084.8;0;682;3558;2766.8;-791.2
30.10.2024 02:00:00;30.10.2024 03:00:00;1680;0;1248;0;640;0;0;2134.1;0;685;3568;2819.1;-748.9
30.10.2024 03:00:00;30.10.2024 04:00:00;1680;0;1300;0;640;0;0;2110.1;0;684;3620;2794.1;-825.9
30.10.2024 04:00:00;30.10.2024 05:00:00;1545.8;0;1320;0;640;0;0;2168.7;0;686;3505.8;2854.7;-651.1
30.10.2024 05:00:00;30.10.2024 06:00:00;1622.1;0;1289;0;640;0;0;2019.4;0;658;3551.1;2677.4;-873.7
30.10.2024 06:00:00;30.10.2024 07:00:00;1680;0;1289;0;640;0;0;1916.4;0;708;3609;2624.4;-984.6
30.10.2024 07:00:00;30.10.2024 08:00:00;1680;0;1279;0;640;0;0;1672;0;682;3599;2354;-1245
30.10.2024 08:00:00;30.10.2024 09:00:00;1680;0;1300;0;640;0;0;1855.3;0;684;3620;2539.3;-1080.7
30.10.2024 09:00:00;30.10.2024 10:00:00;1680;0;1155;0;640;0;0;1875.6;0;702;3475;2577.6;-897.4
30.10.2024 10:00:00;30.10.2024 11:00:00;1680;0;1031;0;640;0;0;1905;0;663;3351;2568;-783
30.10.2024 11:00:00;30.10.2024 12:00:00;1480.8;0;959;0;640;0;0;2043.1;0;674;3079.8;2717.1;-362.7
30.10.2024 12:00:00;30.10.2024 13:00:00;1385.7;0;908;0;640;0;0;1946;0;594;2933.7;2540;-393.7
