Delivery Start (CET);Delivery End (CET);NO1 High Price (EUR/MWh);NO1 Low Price (EUR/MWh);NO1 Open Price (EUR/MWh);NO1 Close Price (EUR/MWh);NO1 Average Price (EUR/MWh);NO1 Volume (MW);NO1 Buy Volume (MW);NO1 Sell Volume (MW);NO1 Average Price Last 3 H (EUR/MWh);NO1 Open Trade Time (CET);NO1 Close Trade Time (CET)
01.01.2024 00:00:00;01.01.2024 01:00:00;61;25;35.74;59;30.42;25.6;23.8;3.6;59.89;31.12.2023 15:00:00;31.12.2023 22:34:06
01.01.2024 01:00:00;01.01.2024 02:00:00;55.99;20.43;36.5;55.99;26.97;23.2;23.2;0;55.99;31.12.2023 15:00:00;31.12.2023 23:34:06
01.01.2024 02:00:00;01.01.2024 03:00:00;27.5;21;25.45;27.5;25.28;34;34;0;27.5;31.12.2023 15:00:19;01.01.2024 00:38:06
01.01.2024 03:00:00;01.01.2024 04:00:00;28.26;3.31;25;28.15;20.63;102.2;89.8;12.4;23.47;31.12.2023 16:49:21;01.01.2024 01:51:17
01.01.2024 04:00:00;01.01.2024 05:00:00;30.6;7.98;25;30.6;20.18;101.7;85.8;15.9;24.01;31.12.2023 16:49:21;01.01.2024 02:29:48
01.01.2024 05:00:00;01.01.2024 06:00:00;27.87;8.4;9.26;24.8;16.95;141.9;107.1;34.8;22.78;31.12.2023 15:00:00;01.01.2024 03:54:00
01.01.2024 06:00:00;01.01.2024 07:00:00;45;8.51;9.26;45;23.73;168;91.3;76.7;42.02;31.12.2023 15:00:00;01.01.2024 04:59:56
01.01.2024 07:00:00;01.01.2024 08:00:00;45;9.26;9.26;45;27.48;111.4;76.7;34.7;40.91;31.12.2023 15:00:00;01.01.2024 05:59:51
01.01.2024 08:00:00;01.01.2024 09:00:00;45;10.82;10.82;40.1;32.44;78.9;43.4;35.5;42.45;31.12.2023 15:00:00;01.01.2024 06:54:01
01.01.2024 09:00:00;01.01.2024 10:00:00;38.79;13.32;13.32;35.7;23.76;40;38;2;36.83;31.12.2023 15:00:00;01.01.2024 07:54:02
01.01.2024 10:00:00;01.01.2024 11:00:00;57;41.3;41.3;57;56.03;65.6;50.4;47.4;56.19;31.12.2023 23:34:26;01.01.2024 08:58:29
01.01.2024 11:00:00;01.01.2024 12:00:00;60;54.51;54.51;60;58.69;20.3;16.3;13.8;58.69;01.01.2024 08:57:24;01.01.2024 09:54:02
