Delivery Start (CET);Delivery End (CET);NO1 Biomass (MW);NO1 Fossil Gas (MW);NO1 Hydro Run Of River And Poundage (MW);NO1 Hydro Water Reservoir (MW);NO1 Solar (MW);NO1 Waste (MW);NO1 Wind Onshore (MW);NO1 Total (MW)
01.01.2024 00:00:00;01.01.2024 01:00:00;0;0;932;411;;16;93;1452
01.01.2024 01:00:00;01.01.2024 02:00:00;0;0;930;176;;17;95;1218
01.01.2024 02:00:00;01.01.2024 03:00:00;0;0;926;177;;16;91;1210
01.01.2024 03:00:00;01.01.2024 04:00:00;0;0;926;176;;16;97;1215
01.01.2024 04:00:00;01.01.2024 05:00:00;0;0;908;175;;15;106;1204
01.01.2024 05:00:00;01.01.2024 06:00:00;0;0;927;385;;15;101;1428
01.01.2024 06:00:00;01.01.2024 07:00:00;0;0;925;473;;17;103;1518
01.01.2024 07:00:00;01.01.2024 08:00:00;0;0;946;395;;17;106;1464
01.01.2024 08:00:00;01.01.2024 09:00:00;0;0;946;391;;20;113;1470
01.01.2024 09:00:00;01.01.2024 10:00:00;0;0;953;292;;21;123;1389
01.01.2024 10:00:00;01.01.2024 11:00:00;0;0;950;329;;20;122;1421
01.01.2024 11:00:00;01.01.2024 12:00:00;0;0;953;285;;20;120;1378
01.01.2024 12:00:00;01.01.2024 13:00:00;0;0;947;367;;20;121;1455
01.01.2024 13:00:00;01.01.2024 14:00:00;0;0;940;370;;20;122;1452
01.01.2024 14:00:00;01.01.2024 15:00:00;0;0;945;344;;19;129;1437
01.01.2024 15:00:00;01.01.2024 16:00:00;0;0;944;442;;18;134;1538
01.01.2024 16:00:00;01.01.2024 17:00:00;0;0;951;440;;18;137;1546
01.01.2024 17:00:00;01.01.2024 18:00:00;0;0;945;524;;17;135;1621
01.01.2024 18:00:00;01.01.2024 19:00:00;0;0;947;463;;15;138;1563
01.01.2024 19:00:00;01.01.2024 20:00:00;0;0;944;451;;15;137;1547
01.01.2024 20:00:00;01.01.2024 21:00:00;0;0;940;439;;16;127;1522
01.01.2024 21:00:00;01.01.2024 22:00:00;0;0;936;366;;17;124;1443
01.01.2024 22:00:00;01.01.2024 23:00:00;0;0;927;347;;17;124;1415
01.01.2024 23:00:00;02.01.2024 00:00:00;0;0;928;305;;16;124;1373
02.01.2024 00:00:00;02.01.2024 01:00:00;0;0;938;338;;17;125;1418
02.01.2024 01:00:00;02.01.2024 02:00:00;0;0;913;213;;16;135;1277
02.01.2024 02:00:00;02.01.2024 03:00:00;0;0;922;210;;17;133;1282
02.01.2024 03:00:00;02.01.2024 04:00:00;0;0;932;209;;17;125;1283
02.01.2024 04:00:00;02.01.2024 05:00:00;0;0;938;211;;17;114;1280
02.01.2024 05:00:00;02.01.2024 06:00:00;0;0;940;413;;17;106;1476
02.01.2024 06:00:00;02.01.2024 07:00:00;0;0;961;396;;17;109;1483
02.01.2024 07:00:00;02.01.2024 08:00:00;0;0;970;472;;16;105;1563
02.01.2024 08:00:00;02.01.2024 09:00:00;0;0;996;547;;16;121;1680
02.01.2024 09:00:00;02.01.2024 10:00:00;0;0;1006;592;;15;122;1735
02.01.2024 10:00:00;02.01.2024 11:00:00;0;0;1010;794;;15;116;1935
02.01.2024 11:00:00;02.01.2024 12:00:00;0;0;1016;834;;15;116;1981
02.01.2024 12:00:00;02.01.2024 13:00:00;0;0;1027;1053;;15;120;2215
02.01.2024 13:00:00;02.01.2024 14:00:00;0;0;1030;905;;15;108;2058
02.01.2024 14:00:00;02.01.2024 15:00:00;0;0;1022;851;;15;110;1998
02.01.2024 15:00:00;02.01.2024 16:00:00;0;0;1021;940;;13;115;2089
02.01.2024 16:00:00;02.01.2024 17:00:00;0;0;1030;1011;;14;118;2173
02.01.2024 17:00:00;02.01.2024 18:00:00;0;0;1033;988;;14;124;2159
02.01.2024 18:00:00;02.01.2024 19:00:00;0;0;1009;787;;14;125;1935
02.01.2024 19:00:00;02.01.2024 20:00:00;0;0;1007;566;;15;124;1712
02.01.2024 20:00:00;02.01.2024 21:00:00;0;0;1021;581;;14;130;1746
02.01.2024 21:00:00;02.01.2024 22:00:00;0;0;1006;616;;14;134;1770
02.01.2024 22:00:00;02.01.2024 23:00:00;0;0;989;598;;14;139;1740
02.01.2024 23:00:00;03.01.2024 00:00:00;0;0;989;545;;14;141;1689
03.01.2024 00:00:00;03.01.2024 01:00:00;0;0;984;538;;14;129;1665
03.01.2024 01:00:00;03.01.2024 02:00:00;0;0;1009;454;;15;128;1606
03.01.2024 02:00:00;03.01.2024 03:00:00;0;0;1007;498;;15;134;1654
03.01.2024 03:00:00;03.01.2024 04:00:00;0;0;981;393;;18;141;1533
03.01.2024 04:00:00;03.01.2024 05:00:00;0;0;980;402;;17;145;1544
03.01.2024 05:00:00;03.01.2024 06:00:00;0;0;988;469;;15;139;1611
03.01.2024 06:00:00;03.01.2024 07:00:00;0;0;1009;688;;16;139;1852
03.01.2024 07:00:00;03.01.2024 08:00:00;0;0;1024;822;;15;144;2005
03.01.2024 08:00:00;03.01.2024 09:00:00;0;0;1005;820;;15;143;1983
03.01.2024 09:00:00;03.01.2024 10:00:00;0;0;1026;855;;15;141;2037
03.01.2024 10:00:00;03.01.2024 11:00:00;0;0;1024;874;;15;134;2047
03.01.2024 11:00:00;03.01.2024 12:00:00;0;0;1022;861;;11;134;2028
03.01.2024 12:00:00;03.01.2024 13:00:00;0;0;1022;914;;11;141;2088
03.01.2024 13:00:00;03.01.2024 14:00:00;0;0;1016;900;;15;140;2071
03.01.2024 14:00:00;03.01.2024 15:00:00;0;0;999;914;;15;136;2064
03.01.2024 15:00:00;03.01.2024 16:00:00;0;0;1022;894;;12;143;2071
03.01.2024 16:00:00;03.01.2024 17:00:00;0;0;1031;865;;14;151;2061
03.01.2024 17:00:00;03.01.2024 18:00:00;0;0;1045;1028;;13;149;2235
03.01.2024 18:00:00;03.01.2024 19:00:00;0;0;1055;1066;;13;139;2273
03.01.2024 19:00:00;03.01.2024 20:00:00;0;0;1041;1039;;14;137;2231
03.01.2024 20:00:00;03.01.2024 21:00:00;0;0;1031;861;;15;133;2040
03.01.2024 21:00:00;03.01.2024 22:00:00;0;0;1009;805;;15;133;1962
03.01.2024 22:00:00;03.01.2024 23:00:00;0;0;1028;678;;16;126;1848
03.01.2024 23:00:00;04.01.2024 00:00:00;0;0;1004;589;;17;112;1722
04.01.2024 00:00:00;04.01.2024 01:00:00;0;0;996;409;;19;113;1537
