Time,accepted_up_mw,activated_up_mw,accepted_down_mw,activated_down_mw
2023-01-01,12253.0,108.3,2196.0,155.7
2023-01-02,9172.0,164.60000000000002,1923.0,0.0
2023-01-03,7879.0,922.5,3491.0,0.0
2023-01-04,10771.0,241.0,4438.0,0.0
2023-01-05,7737.0,135.0,6361.0,104.2
2023-01-06,8804.0,0.0,9274.0,452.3
2023-01-07,11016.0,254.8,4188.0,14.6
2023-01-08,11816.0,179.3,5057.0,0.0
2023-01-09,5518.0,125.8,7020.0,544.9
2023-01-10,5810.0,626.2,5744.0,417.9
2023-01-11,9109.0,0.0,1862.0,146.7
2023-01-12,9825.0,1251.8,3869.0,36.7
2023-01-13,12335.0,279.4,1776.0,30.4
2023-01-14,11273.0,0.0,1992.0,75.0
2023-01-15,12946.0,299.2,1206.0,0.0
2023-01-16,3675.0,27.5,4951.0,279.6
2023-01-17,5571.0,0.0,5218.0,71.8
2023-01-18,3459.0,22.8,3651.0,35.4
2023-01-19,2707.0,19.3,4636.0,47.8
2023-01-20,256.0,0.0,6900.0,0.0
2023-01-21,1812.0,132.4,5384.0,0.0
2023-01-22,3726.0,439.2,8232.0,0.0
2023-01-23,2290.0,265.7,8868.0,50.0
2023-01-24,1111.0,0.0,6445.0,1207.6
2023-01-25,3841.0,104.0,6350.0,180.8
2023-01-26,2751.0,50.8,6562.0,88.5
2023-01-27,1988.0,12.7,6379.0,147.8
2023-01-28,4455.0,30.6,15156.0,327.0
2023-01-29,9712.0,0.0,7695.0,403.4
2023-01-30,10074.0,0.0,10917.0,0.0
2023-01-31,5315.0,0.0,6425.0,8.7
2023-02-01,6927.0,0.0,3542.0,51.5
2023-02-02,3940.0,208.5,5366.0,0.0
2023-02-03,6244.0,0.0,4649.0,136.7
2023-02-04,1436.0,114.2,6649.0,251.0
2023-02-05,2200.0,237.7,6595.0,417.9
2023-02-06,1452.0,46.8,6880.0,0.0
2023-02-07,1022.0,27.7,6279.0,0.0
2023-02-08,1826.0,61.0,6619.0,60.7
2023-02-09,5099.0,0.0,5337.0,177.4
2023-02-10,6633.0,0.0,4650.0,0.0
2023-02-11,9212.0,0.0,3679.0,0.0
2023-02-12,4342.0,0.0,6570.0,721.1
2023-02-13,3577.0,0.0,5688.0,1852.4
2023-02-14,2003.0,2.7,4363.0,108.4
2023-02-15,2268.0,483.3,7043.0,0.0
2023-02-16,2910.0,10.7,6590.0,80.3
2023-02-17,10175.0,0.0,2768.0,149.5
2023-02-18,8208.0,720.2,5848.0,66.8
2023-02-19,6054.0,171.0,6755.0,220.2
2023-02-20,16663.0,0.0,3271.0,102.7
2023-02-21,6012.0,0.0,7548.0,624.9
