Reserve Margin,Activation,Probability,MarginMid
"(-5801.146, -5521.475]",up,0.46875,-5661.3105
"(-5801.146, -5521.475]",down,0.34375,-5661.3105
"(-5801.146, -5521.475]",none,0.1875,-5661.3105
"(-5521.475, -5249.95]",none,0.6166666666666667,-5385.7125
"(-5521.475, -5249.95]",up,0.2833333333333333,-5385.7125
"(-5521.475, -5249.95]",down,0.1,-5385.7125
"(-5249.95, -4978.425]",none,0.6283185840707964,-5114.1875
"(-5249.95, -4978.425]",up,0.2743362831858407,-5114.1875
"(-5249.95, -4978.425]",down,0.09734513274336283,-5114.1875
"(-4978.425, -4706.9]",none,0.5420560747663551,-4842.6625
"(-4978.425, -4706.9]",up,0.27102803738317754,-4842.6625
"(-4978.425, -4706.9]",down,0.18691588785046728,-4842.6625
"(-4706.9, -4435.375]",none,0.5121951219512195,-4571.1375
"(-4706.9, -4435.375]",up,0.32926829268292684,-4571.1375
"(-4706.9, -4435.375]",down,0.15853658536585366,-4571.1375
"(-4435.375, -4163.85]",none,0.5977653631284916,-4299.6125
"(-4435.375, -4163.85]",up,0.30726256983240224,-4299.6125
"(-4435.375, -4163.85]",down,0.09497206703910614,-4299.6125
"(-4163.85, -3892.325]",none,0.5923566878980892,-4028.0875
"(-4163.85, -3892.325]",up,0.2356687898089172,-4028.0875
"(-4163.85, -3892.325]",down,0.17197452229299362,-4028.0875
"(-3892.325, -3620.8]",none,0.6158415841584158,-3756.5625
"(-3892.325, -3620.8]",down,0.20594059405940593,-3756.5625
"(-3892.325, -3620.8]",up,0.1782178217821782,-3756.5625
"(-3620.8, -3349.275]",none,0.6502835538752363,-3485.0375000000004
"(-3620.8, -3349.275]",down,0.2533081285444234,-3485.0375000000004
"(-3620.8, -3349.275]",up,0.09640831758034027,-3485.0375000000004
"(-3349.275, -3077.75]",none,0.6565349544072948,-3213.5125
"(-3349.275, -3077.75]",down,0.20212765957446807,-3213.5125
"(-3349.275, -3077.75]",up,0.1413373860182371,-3213.5125
"(-3077.75, -2806.225]",none,0.5864106351550961,-2941.9875
"(-3077.75, -2806.225]",down,0.27326440177252587,-2941.9875
"(-3077.75, -2806.225]",up,0.14032496307237813,-2941.9875
