ts,procurement_price,quantity,_smoothed
2024-12-31 23:00:00+00:00,11.54,45.0,0
2025-01-01 00:00:00+00:00,5.0,45.0,0
2025-01-01 01:00:00+00:00,8.030000000000001,45.0,0
2025-01-01 02:00:00+00:00,8.805,45.0,0
2025-01-01 03:00:00+00:00,9.965,45.0,0
2025-01-01 04:00:00+00:00,18.65,60.0,0
2025-01-01 05:00:00+00:00,15.2,71.0,0
2025-01-01 06:00:00+00:00,11.495000000000001,60.0,0
2025-01-01 07:00:00+00:00,12.635,61.0,0
2025-01-01 08:00:00+00:00,7.25,60.0,0
2025-01-01 09:00:00+00:00,6.965,60.0,0
2025-01-01 10:00:00+00:00,6.0,60.0,0
2025-01-01 11:00:00+00:00,5.385,60.0,0
2025-01-01 12:00:00+00:00,6.0,60.0,0
2025-01-01 13:00:00+00:00,5.59,60.0,0
2025-01-01 14:00:00+00:00,7.215,60.0,0
2025-01-01 15:00:00+00:00,8.075,62.0,0
2025-01-01 16:00:00+00:00,6.695,75.0,0
2025-01-01 17:00:00+00:00,6.965,75.0,0
2025-01-01 18:00:00+00:00,6.965,75.0,0
2025-01-01 19:00:00+00:00,6.965,75.0,0
2025-01-01 20:00:00+00:00,6.965,75.0,0
2025-01-01 21:00:00+00:00,7.465,75.0,0
2025-01-01 22:00:00+00:00,5.59,60.0,0
2025-01-01 23:00:00+00:00,6.03,30.0,0
2025-01-02 00:00:00+00:00,4.75,55.0,0
2025-01-02 01:00:00+00:00,4.345000000000001,75.0,0
2025-01-02 02:00:00+00:00,3.75,75.0,0
2025-01-02 03:00:00+00:00,3.5,75.0,0
2025-01-02 04:00:00+00:00,10.5,75.0,0
2025-01-02 05:00:00+00:00,13.5,75.0,0
2025-01-02 06:00:00+00:00,13.5,75.0,0
2025-01-02 07:00:00+00:00,14.5,75.0,0
2025-01-02 08:00:00+00:00,13.0,56.0,0
2025-01-02 09:00:00+00:00,14.0,60.0,0
2025-01-02 10:00:00+00:00,13.0,56.0,0
2025-01-02 11:00:00+00:00,12.0,60.0,0
2025-01-02 12:00:00+00:00,11.75,60.0,0
2025-01-02 13:00:00+00:00,11.0,60.0,0
2025-01-02 14:00:00+00:00,13.0,60.0,0
2025-01-02 15:00:00+00:00,18.0,75.0,0
2025-01-02 16:00:00+00:00,19.5,75.0,0
2025-01-02 17:00:00+00:00,20.5,61.0,0
2025-01-02 18:00:00+00:00,16.0,75.0,0
2025-01-02 19:00:00+00:00,10.0,60.0,0
2025-01-02 20:00:00+00:00,9.5,60.0,0
2025-01-02 21:00:00+00:00,10.0,75.0,0
2025-01-02 22:00:00+00:00,9.0,75.0,0
2025-01-02 23:00:00+00:00,7.5,30.0,0
2025-01-03 00:00:00+00:00,6.0,30.0,0
2025-01-03 01:00:00+00:00,5.75,30.0,0
2025-01-03 02:00:00+00:00,7.465,30.0,0
2025-01-03 03:00:00+00:00,7.465,30.0,0
2025-01-03 04:00:00+00:00,10.25,30.0,0
2025-01-03 05:00:00+00:00,17.3,30.0,0
2025-01-03 06:00:00+00:00,32.5,30.0,0
2025-01-03 07:00:00+00:00,44.2,30.0,0
2025-01-03 08:00:00+00:00,33.0,30.0,0
2025-01-03 09:00:00+00:00,39.75,30.0,0
2025-01-03 10:00:00+00:00,26.0,30.0,0
2025-01-03 11:00:00+00:00,28.25,30.0,0
2025-01-03 12:00:00+00:00,32.25,30.0,0
2025-01-03 13:00:00+00:00,32.75,30.0,0
2025-01-03 14:00:00+00:00,33.75,30.0,0
2025-01-03 15:00:00+00:00,25.75,30.0,0
2025-01-03 16:00:00+00:00,30.5,30.0,0
2025-01-03 17:00:00+00:00,28.75,30.0,0
2025-01-03 18:00:00+00:00,28.0,30.0,0
2025-01-03 19:00:00+00:00,22.5,30.0,0
2025-01-03 20:00:00+00:00,21.0,30.0,0
2025-01-03 21:00:00+00:00,15.5,30.0,0
2025-01-03 22:00:00+00:00,12.705,30.0,0
2025-01-03 23:00:00+00:00,9.32,30.0,0
2025-01-04 00:00:00+00:00,6.97,30.0,0
2025-01-04 01:00:00+00:00,6.97,30.0,0
2025-01-04 02:00:00+00:00,6.97,30.0,0
2025-01-04 03:00:00+00:00,6.97,30.0,0
2025-01-04 04:00:00+00:00,6.97,30.0,0
2025-01-04 05:00:00+00:00,9.719999999999999,30.0,0
2025-01-04 06:00:00+00:00,10.75,30.0,0
2025-01-04 07:00:00+00:00,14.75,30.0,0
2025-01-04 08:00:00+00:00,20.75,30.0,0
2025-01-04 09:00:00+00:00,13.35,30.0,0
2025-01-04 10:00:00+00:00,12.0,30.0,0
2025-01-04 11:00:00+00:00,12.35,30.0,0
2025-01-04 12:00:00+00:00,11.1,30.0,0
2025-01-04 13:00:00+00:00,12.9,30.0,0
2025-01-04 14:00:00+00:00,17.075,30.0,0
2025-01-04 15:00:00+00:00,21.65,30.0,0
2025-01-04 16:00:00+00:00,44.25,30.0,0
2025-01-04 17:00:00+00:00,43.4,30.0,0
2025-01-04 18:00:00+00:00,14.325,30.0,0
2025-01-04 19:00:00+00:00,13.15,30.0,0
2025-01-04 20:00:00+00:00,12.075,30.0,0
2025-01-04 21:00:00+00:00,12.075,30.0,0
2025-01-04 22:00:00+00:00,20.1,30.0,0
2025-01-04 23:00:00+00:00,15.5,30.0,0
2025-01-05 00:00:00+00:00,7.97,30.0,0
2025-01-05 01:00:00+00:00,7.97,30.0,0
2025-01-05 02:00:00+00:00,7.97,30.0,0
2025-01-05 03:00:00+00:00,9.75,30.0,0
2025-01-05 04:00:00+00:00,11.469999999999999,30.0,0
2025-01-05 05:00:00+00:00,11.219999999999999,30.0,0
2025-01-05 06:00:00+00:00,24.45,30.0,0
2025-01-05 07:00:00+00:00,28.95,30.0,0
2025-01-05 08:00:00+00:00,33.05,30.0,0
2025-01-05 09:00:00+00:00,38.8,30.0,0
2025-01-05 10:00:00+00:00,38.9,30.0,0
2025-01-05 11:00:00+00:00,39.2,30.0,0
2025-01-05 12:00:00+00:00,30.45,30.0,0
2025-01-05 13:00:00+00:00,35.35,30.0,0
2025-01-05 14:00:00+00:00,26.25,30.0,0
2025-01-05 15:00:00+00:00,14.75,30.0,0
2025-01-05 16:00:00+00:00,22.25,30.0,0
2025-01-05 17:00:00+00:00,29.0,30.0,0
2025-01-05 18:00:00+00:00,30.25,30.0,0
2025-01-05 19:00:00+00:00,21.25,30.0,0
2025-01-05 20:00:00+00:00,10.75,30.0,0
2025-01-05 21:00:00+00:00,15.25,30.0,0
2025-01-05 22:00:00+00:00,12.75,30.0,0
2025-01-05 23:00:00+00:00,13.085,30.0,0
2025-01-06 00:00:00+00:00,6.5,30.0,0
2025-01-06 01:00:00+00:00,7.5,30.0,0
2025-01-06 02:00:00+00:00,10.705,0.0,0
2025-01-06 03:00:00+00:00,13.17,0.0,0
2025-01-06 04:00:00+00:00,21.175,30.0,0
2025-01-06 05:00:00+00:00,12.5,0.0,0
2025-01-06 06:00:00+00:00,16.205,30.0,0
2025-01-06 07:00:00+00:00,15.5,30.0,0
2025-01-06 08:00:00+00:00,12.5,30.0,0
2025-01-06 09:00:00+00:00,12.0,30.0,0
2025-01-06 10:00:00+00:00,12.0,30.0,0
2025-01-06 11:00:00+00:00,12.5,30.0,0
2025-01-06 12:00:00+00:00,12.0,30.0,0
2025-01-06 13:00:00+00:00,9.469999999999999,30.0,0
2025-01-06 14:00:00+00:00,9.469999999999999,30.0,0
2025-01-06 15:00:00+00:00,7.0,30.0,0
2025-01-06 16:00:00+00:00,12.0,30.0,0
2025-01-06 17:00:00+00:00,7.85,30.0,0
2025-01-06 18:00:00+00:00,8.969999999999999,30.0,0
2025-01-06 19:00:00+00:00,5.5,30.0,0
2025-01-06 20:00:00+00:00,9.025,30.0,0
2025-01-06 21:00:00+00:00,9.0,30.0,0
2025-01-06 22:00:00+00:00,5.575,30.0,0
2025-01-06 23:00:00+00:00,5.0,45.0,0
2025-01-07 00:00:00+00:00,3.0,30.0,0
2025-01-07 01:00:00+00:00,3.5,30.0,0
2025-01-07 02:00:00+00:00,4.5,45.0,0
2025-01-07 03:00:00+00:00,3.345,45.0,0
2025-01-07 04:00:00+00:00,7.5,60.0,0
2025-01-07 05:00:00+00:00,6.75,59.0,0
2025-01-07 06:00:00+00:00,7.715,60.0,0
2025-01-07 07:00:00+00:00,7.5,60.0,0
2025-01-07 08:00:00+00:00,6.965,60.0,0
2025-01-07 09:00:00+00:00,6.965,60.0,0
2025-01-07 10:00:00+00:00,6.0,60.0,0
2025-01-07 11:00:00+00:00,6.965,60.0,0
2025-01-07 12:00:00+00:00,6.965,60.0,0
2025-01-07 13:00:00+00:00,7.5,60.0,0
2025-01-07 14:00:00+00:00,9.0,60.0,0
2025-01-07 15:00:00+00:00,8.25,60.0,0
2025-01-07 16:00:00+00:00,9.0,60.0,0
2025-01-07 17:00:00+00:00,8.25,60.0,0
2025-01-07 18:00:00+00:00,9.0,60.0,0
2025-01-07 19:00:00+00:00,8.25,60.0,0
2025-01-07 20:00:00+00:00,9.25,60.0,0
2025-01-07 21:00:00+00:00,8.75,60.0,0
2025-01-07 22:00:00+00:00,8.5,60.0,0
2025-01-07 23:00:00+00:00,5.5,60.0,0
2025-01-08 00:00:00+00:00,5.0,40.0,0
2025-01-08 01:00:00+00:00,5.25,40.0,0
2025-01-08 02:00:00+00:00,3.0,40.0,0
2025-01-08 03:00:00+00:00,3.345,60.0,0
2025-01-08 04:00:00+00:00,7.27,60.0,0
2025-01-08 05:00:00+00:00,8.25,60.0,0
2025-01-08 06:00:00+00:00,22.75,60.0,0
2025-01-08 07:00:00+00:00,19.5,60.0,0
2025-01-08 08:00:00+00:00,14.75,60.0,0
2025-01-08 09:00:00+00:00,12.5,60.0,0
2025-01-08 10:00:00+00:00,16.0,60.0,0
2025-01-08 11:00:00+00:00,15.25,60.0,0
2025-01-08 12:00:00+00:00,15.5,60.0,0
2025-01-08 13:00:00+00:00,16.25,60.0,0
2025-01-08 14:00:00+00:00,21.11,60.0,0
2025-01-08 15:00:00+00:00,21.11,60.0,0
2025-01-08 16:00:00+00:00,21.11,60.0,0
2025-01-08 17:00:00+00:00,11.75,60.0,0
2025-01-08 18:00:00+00:00,11.5,60.0,0
2025-01-08 19:00:00+00:00,10.25,60.0,0
2025-01-08 20:00:00+00:00,11.25,60.0,0
2025-01-08 21:00:00+00:00,8.0,60.0,0
