Delivery Start (CET);Delivery End (CET);NO2 Accepted Down Volume (MW);NO2 Accepted Up Volume (MW);NO2 Activated Down Volume (MW);NO2 Activated Up Volume (MW);NO2 Down Price (EUR);NO2 Imbalance Price (EUR);NO2 Up Price (EUR)
01.01.2025 00:00:00;01.01.2025 00:15:00;692;5772;0;0;16.35;16.35;16.35
01.01.2025 00:15:00;01.01.2025 00:30:00;692;5772;0;0;16.35;16.35;16.35
01.01.2025 00:30:00;01.01.2025 00:45:00;693;5772;0;0;16.35;16.35;16.35
01.01.2025 00:45:00;01.01.2025 01:00:00;694;5772;0;0;16.35;16.35;16.35
01.01.2025 01:00:00;01.01.2025 01:15:00;622;5852;0;0;14.05;14.05;14.05
01.01.2025 01:15:00;01.01.2025 01:30:00;620;5852;0;0;14.05;14.05;14.05
01.01.2025 01:30:00;01.01.2025 01:45:00;616;5852;0;0;14.05;14.05;14.05
01.01.2025 01:45:00;01.01.2025 02:00:00;613;5852;0;0;14.05;14.05;14.05
01.01.2025 02:00:00;01.01.2025 02:15:00;594;5859;0;0;12.39;12.39;12.39
01.01.2025 02:15:00;01.01.2025 02:30:00;590;5859;0;0;12.39;12.39;12.39
01.01.2025 02:30:00;01.01.2025 02:45:00;585;5859;0;0;12.39;12.39;12.39
01.01.2025 02:45:00;01.01.2025 03:00:00;581;5859;0;0;12.39;12.39;12.39
01.01.2025 03:00:00;01.01.2025 03:15:00;565;5874;0;0;13.21;13.21;13.21
01.01.2025 03:15:00;01.01.2025 03:30:00;569;5874;0;0;13.21;13.21;13.21
01.01.2025 03:30:00;01.01.2025 03:45:00;573;5874;0;0;13.21;13.21;13.21
01.01.2025 03:45:00;01.01.2025 04:00:00;577;5874;0;0;13.21;13.21;13.21
01.01.2025 04:00:00;01.01.2025 04:15:00;573;5870;0;0;12.23;12.23;12.23
01.01.2025 04:15:00;01.01.2025 04:30:00;576;5870;0;0;12.23;12.23;12.23
01.01.2025 04:30:00;01.01.2025 04:45:00;580;5870;0;0;12.23;12.23;12.23
01.01.2025 04:45:00;01.01.2025 05:00:00;582;5870;0;0;12.23;12.23;12.23
01.01.2025 05:00:00;01.01.2025 05:15:00;603;6017;0;0;6.73;6.73;6.73
01.01.2025 05:15:00;01.01.2025 05:30:00;604;6017;0;0;6.73;6.73;6.73
01.01.2025 05:30:00;01.01.2025 05:45:00;607;6017;0;0;6.73;6.73;6.73
01.01.2025 05:45:00;01.01.2025 06:00:00;594;6017;0;0;6.73;6.73;6.73
01.01.2025 06:00:00;01.01.2025 06:15:00;619;5982;0;0;15.37;25.5;25.5
01.01.2025 06:15:00;01.01.2025 06:30:00;601;5982;0;33;15.37;25.5;25.5
01.01.2025 06:30:00;01.01.2025 06:45:00;596;5982;0;33;15.37;25.5;25.5
01.01.2025 06:45:00;01.01.2025 07:00:00;570;5982;0;33;15.37;25.5;25.5
01.01.2025 07:00:00;01.01.2025 07:15:00;456;5856;0;53;16.11;26;26
01.01.2025 07:15:00;01.01.2025 07:30:00;453;5856;0;53;16.11;26;26
01.01.2025 07:30:00;01.01.2025 07:45:00;449;5856;0;53;16.11;26;26
01.01.2025 07:45:00;01.01.2025 08:00:00;445;5856;0;53;16.11;26;26
01.01.2025 08:00:00;01.01.2025 08:15:00;492;5941;0;32;16.55;27;27
01.01.2025 08:15:00;01.01.2025 08:30:00;486;5941;0;32;16.55;27;27
01.01.2025 08:30:00;01.01.2025 08:45:00;479;5941;0;32;16.55;27;27
01.01.2025 08:45:00;01.01.2025 09:00:00;471;5941;0;32;16.55;27;27
01.01.2025 09:00:00;01.01.2025 09:15:00;520;5890;0;32;17.95;29;29
01.01.2025 09:15:00;01.01.2025 09:30:00;511;5890;0;32;17.95;29;29
01.01.2025 09:30:00;01.01.2025 09:45:00;502;5890;0;102;17.95;29;29
01.01.2025 09:45:00;01.01.2025 10:00:00;553;5890;0;102;17.95;29;29
01.01.2025 10:00:00;01.01.2025 10:15:00;903;5547;0;130;21.06;29;29
01.01.2025 10:15:00;01.01.2025 10:30:00;958;5547;0;130;21.06;29;29
01.01.2025 10:30:00;01.01.2025 10:45:00;952;5547;0;130;21.06;29;29
01.01.2025 10:45:00;01.01.2025 11:00:00;968;5547;0;130;21.06;29;29
01.01.2025 11:00:00;01.01.2025 11:15:00;1497;4878;0;146;23.54;28;28
01.01.2025 11:15:00;01.01.2025 11:30:00;1508;5518;0;146;23.54;28;28
01.01.2025 11:30:00;01.01.2025 11:45:00;1533;5518;0;146;23.54;28;28
01.01.2025 11:45:00;01.01.2025 12:00:00;1533;5518;0;146;23.54;28;28
01.01.2025 12:00:00;01.01.2025 12:15:00;2184;4757;0;10;27.12;28;28
01.01.2025 12:15:00;01.01.2025 12:30:00;2184;4757;0;10;27.12;28;28
01.01.2025 12:30:00;01.01.2025 12:45:00;2184;4757;0;10;27.12;28;28
