Delivery Start (CET);Delivery End (CET);NO1 NO1->NO2 Export (MW);NO1 NO2->NO1 Import (MW);NO1 NO1->NO3 Export (MW);NO1 NO3->NO1 Import (MW);NO1 NO1->NO5 Export (MW);NO1 NO5->NO1 Import (MW);NO1 NO1->SE3 Export (MW);NO1 SE3->NO1 Import (MW);NO1 Total Export (MW);NO1 Total Import (MW);NO1 Total Net Position (MW)
30.10.2024 00:00:00;30.10.2024 01:00:00;1954.3;0;0;311.1;0;1158;0;1053.1;1954.3;2522.2;567.9
30.10.2024 01:00:00;30.10.2024 02:00:00;2084.8;0;0;312.9;0;1107.8;0;1141;2084.8;2561.7;476.9
30.10.2024 02:00:00;30.10.2024 03:00:00;2134.1;0;0;311.6;0;1114.6;0;1239;2134.1;2665.2;531.1
30.10.2024 03:00:00;30.10.2024 04:00:00;2110.1;0;0;291.1;0;1115.7;0;1067.9;2110.1;2474.7;364.6
30.10.2024 04:00:00;30.10.2024 05:00:00;2168.7;0;0;320.6;0;1086.5;0;1196.7;2168.7;2603.8;435.1
30.10.2024 05:00:00;30.10.2024 06:00:00;2019.4;0;0;305.4;0;1088.6;0;1117.3;2019.4;2511.3;491.9
30.10.2024 06:00:00;30.10.2024 07:00:00;1916.4;0;0;432.8;0;1342.6;0;1058.2;1916.4;2833.6;917.2
30.10.2024 07:00:00;30.10.2024 08:00:00;1672;0;0;489.4;0;1418.5;0;1264.1;1672;3172;1500
30.10.2024 08:00:00;30.10.2024 09:00:00;1855.3;0;0;514.3;0;1275.2;0;1480.5;1855.3;3270;1414.7
30.10.2024 09:00:00;30.10.2024 10:00:00;1875.6;0;0;453.8;0;1316.8;0;1515.6;1875.6;3286.2;1410.6
30.10.2024 10:00:00;30.10.2024 11:00:00;1905;0;0;508;0;1122.1;0;1574.8;1905;3204.9;1299.9
30.10.2024 11:00:00;30.10.2024 12:00:00;2043.1;0;0;495.4;0;1054.8;0;1648.6;2043.1;3198.8;1155.7
30.10.2024 12:00:00;30.10.2024 13:00:00;1946;0;0;522.1;0;834.4;0;1701.3;1946;3057.8;1111.8
30.10.2024 13:00:00;30.10.2024 14:00:00;2092.2;0;0;521.8;0;912;0;1681.6;2092.2;3115.4;1023.2
30.10.2024 14:00:00;30.10.2024 15:00:00;2143;0;0;542.6;0;914.1;0;1665.4;2143;3122.1;979.1
30.10.2024 15:00:00;30.10.2024 16:00:00;2098.8;0;0;554.5;0;1133.9;0;1551;2098.8;3239.4;1140.6
30.10.2024 16:00:00;30.10.2024 17:00:00;1905.1;0;0;529.2;0;1154;0;1328.5;1905.1;3011.7;1106.6
30.10.2024 17:00:00;30.10.2024 18:00:00;1880.8;0;0;523.6;0;1254.6;0;1283.6;1880.8;3061.8;1181
30.10.2024 18:00:00;30.10.2024 19:00:00;1522.1;0;0;480.1;0;1431.3;0;827.4;1522.1;2738.8;1216.7
30.10.2024 19:00:00;30.10.2024 20:00:00;1506.7;0;0;469.3;0;1319.5;0;914.3;1506.7;2703.1;1196.4
30.10.2024 20:00:00;30.10.2024 21:00:00;1627.9;0;0;470.1;0;1204.1;0;1105.8;1627.9;2780;1152.1
30.10.2024 21:00:00;30.10.2024 22:00:00;1722.8;0;0;429.6;0;1224.3;0;1144.5;1722.8;2798.4;1075.6
30.10.2024 22:00:00;30.10.2024 23:00:00;1724.8;0;0;400.5;0;1165.9;0;1170.4;1724.8;2736.8;1012
30.10.2024 23:00:00;31.10.2024 00:00:00;1800.5;0;0;371.5;0;999.9;0;1199.9;1800.5;2571.3;770.8
31.10.2024 00:00:00;31.10.2024 01:00:00;1746.3;0;0;376.3;0;1229.9;0;661.3;1746.3;2267.5;521.2
31.10.2024 01:00:00;31.10.2024 02:00:00;1800.8;0;0;372;0;1188.6;0;615.9;1800.8;2176.5;375.7
31.10.2024 02:00:00;31.10.2024 03:00:00;1900;0;0;410.4;0;1112.6;0;659.8;1900;2182.8;282.8
31.10.2024 03:00:00;31.10.2024 04:00:00;2115.6;0;0;474.6;0;994.7;0;867.9;2115.6;2337.2;221.6
31.10.2024 04:00:00;31.10.2024 05:00:00;2086.7;0;0;485.3;0;929.4;0;888.5;2086.7;2303.2;216.5
31.10.2024 05:00:00;31.10.2024 06:00:00;2048;0;0;505.4;0;910.4;0;956.6;2048;2372.4;324.4
31.10.2024 06:00:00;31.10.2024 07:00:00;1781.4;0;0;545.3;0;1213.4;0;706.7;1781.4;2465.4;684
31.10.2024 07:00:00;31.10.2024 08:00:00;1369.8;0;0;541.5;0;1591.6;0;368;1369.8;2501.1;1131.3
31.10.2024 08:00:00;31.10.2024 09:00:00;1389.6;0;0;589.7;0;1691.7;0;390.7;1389.6;2672.1;1282.5
31.10.2024 09:00:00;31.10.2024 10:00:00;1362.1;0;0;615.3;0;1597.6;0;387.4;1362.1;2600.3;1238.2
31.10.2024 10:00:00;31.10.2024 11:00:00;1737.4;0;0;652.4;0;1404.4;0;847.4;1737.4;2904.2;1166.8
31.10.2024 11:00:00;31.10.2024 12:00:00;1964;0;0;637.1;0;1320.9;0;1063.8;1964;3021.8;1057.8
31.10.2024 12:00:00;31.10.2024 13:00:00;1766;0;0;618.6;0;1330.9;0;822.8;1766;2772.3;1006.3
31.10.2024 13:00:00;31.10.2024 14:00:00;1532.4;0;0;501.6;0;1447.2;0;571.5;1532.4;2520.3;987.9
31.10.2024 14:00:00;31.10.2024 15:00:00;1767.6;0;0;555.6;0;1343.3;0;849.2;1767.6;2748.1;980.5
31.10.2024 15:00:00;31.10.2024 16:00:00;1584.8;0;0;478.6;0;1455.9;0;655.8;1584.8;2590.3;1005.5
31.10.2024 16:00:00;31.10.2024 17:00:00;1753.2;0;0;497.9;0;1460.4;0;893.4;1753.2;2851.7;1098.5
31.10.2024 17:00:00;31.10.2024 18:00:00;2025.6;0;0;625.2;0;1311.5;0;1173.3;2025.6;3110;1084.4
31.10.2024 18:00:00;31.10.2024 19:00:00;1957.8;0;0;559.1;0;1378;0;1098.7;1957.8;3035.8;1078
31.10.2024 19:00:00;31.10.2024 20:00:00;1576.9;0;0;373.8;0;1585.4;0;621.1;1576.9;2580.3;1003.4
31.10.2024 20:00:00;31.10.2024 21:00:00;1473.6;0;0;371.6;0;1341.6;0;692.4;1473.6;2405.6;932
31.10.2024 21:00:00;31.10.2024 22:00:00;1726.7;0;0;344.2;0;1128.8;0;1048.4;1726.7;2521.4;794.7
31.10.2024 22:00:00;31.10.2024 23:00:00;1758.9;0;0;304;0;1033.7;0;1078.4;1758.9;2416.1;657.2
31.10.2024 23:00:00;01.11.2024 00:00:00;1698.2;0;0;232.7;0;1090.5;0;807.6;1698.2;2130.8;432.6
01.11.2024 00:00:00;01.11.2024 01:00:00;1220.1;0;4.1;0;0;1702.1;199.4;0;1423.6;1702.1;278.5
01.11.2024 01:00:00;01.11.2024 02:00:00;1410.6;0;0;58;0;1644.4;106.6;0;1517.2;1702.4;185.2
01.11.2024 02:00:00;01.11.2024 03:00:00;1714.2;0;0;156.1;0;1473.4;0;196;1714.2;1825.5;111.3
01.11.2024 03:00:00;01.11.2024 04:00:00;1917.2;0;0;267.5;0;1386.2;0;578.8;1917.2;2232.5;315.3
01.11.2024 04:00:00;01.11.2024 05:00:00;1995.9;0;0;257.7;0;1329.8;0;595.5;1995.9;2183;187.1
01.11.2024 05:00:00;01.11.2024 06:00:00;1884.2;0;0;295.5;0;1407.1;0;448.6;1884.2;2151.2;267
01.11.2024 06:00:00;01.11.2024 07:00:00;1791.5;0;0;333.4;0;1431.1;0;561.7;1791.5;2326.2;534.7
01.11.2024 07:00:00;01.11.2024 08:00:00;1816.3;0;0;544.7;0;1449.6;0;848.7;1816.3;2843;1026.7
01.11.2024 08:00:00;01.11.2024 09:00:00;1889.7;0;0;549.2;0;1426.3;0;1154.6;1889.7;3130.1;1240.4
01.11.2024 09:00:00;01.11.2024 10:00:00;1695.2;0;0;367.6;0;1553.7;0;925.3;1695.2;2846.6;1151.4
01.11.2024 10:00:00;01.11.2024 11:00:00;1788.5;0;0;349.3;0;1515;0;1011.5;1788.5;2875.8;1087.3
01.11.2024 11:00:00;01.11.2024 12:00:00;1891.7;0;0;379.5;0;1455;0;1148.3;1891.7;2982.8;1091.1
01.11.2024 12:00:00;01.11.2024 13:00:00;1877.2;0;0;364.1;0;1335.9;0;1154.1;1877.2;2854.1;976.9
01.11.2024 13:00:00;01.11.2024 14:00:00;1812.1;0;0;355.9;0;1318.1;0;1135.7;1812.1;2809.7;997.6
01.11.2024 14:00:00;01.11.2024 15:00:00;1709;0;0;327.8;0;1403.8;0;990.6;1709;2722.2;1013.2
01.11.2024 15:00:00;01.11.2024 16:00:00;1780.5;0;0;341.2;0;1495.3;0;1018.7;1780.5;2855.2;1074.7
01.11.2024 16:00:00;01.11.2024 17:00:00;1786.8;0;0;443.9;0;1494.5;0;1079.8;1786.8;3018.2;1231.4
01.11.2024 17:00:00;01.11.2024 18:00:00;1857.3;0;0;403.5;0;1650.1;0;1091.5;1857.3;3145.1;1287.8
01.11.2024 18:00:00;01.11.2024 19:00:00;1817.8;0;0;453.1;0;1536.8;0;1150.4;1817.8;3140.3;1322.5
01.11.2024 19:00:00;01.11.2024 20:00:00;1945.4;0;0;422.2;0;1460.8;0;1354.7;1945.4;3237.7;1292.3
01.11.2024 20:00:00;01.11.2024 21:00:00;2011.2;0;0;447.9;0;1360;0;1429.1;2011.2;3237;1225.8
01.11.2024 21:00:00;01.11.2024 22:00:00;2109.6;0;0;426.7;0;1299.5;0;1494.8;2109.6;3221;1111.4
01.11.2024 22:00:00;01.11.2024 23:00:00;2134.6;0;0;391.1;0;1196;0;1492.3;2134.6;3079.4;944.8
01.11.2024 23:00:00;02.11.2024 00:00:00;2151.5;0;0;238.7;0;1279.7;0;1440.8;2151.5;2959.2;807.7
02.11.2024 00:00:00;02.11.2024 01:00:00;1839.5;0;0;294.1;0;1362.8;0;873.6;1839.5;2530.5;691
02.11.2024 01:00:00;02.11.2024 02:00:00;1752.9;0;0;211.3;0;1455.1;0;706;1752.9;2372.4;619.5
02.11.2024 02:00:00;02.11.2024 03:00:00;1718.3;0;0;177.6;0;1474;0;652.6;1718.3;2304.2;585.9
02.11.2024 03:00:00;02.11.2024 04:00:00;1788;0;0;195.2;0;1387.6;0;777.6;1788;2360.4;572.4
02.11.2024 04:00:00;02.11.2024 05:00:00;1759;0;0;206.7;0;1398.9;0;748.1;1759;2353.7;594.7
02.11.2024 05:00:00;02.11.2024 06:00:00;1705.3;0;0;199.1;0;1440.1;0;676.1;1705.3;2315.3;610
02.11.2024 06:00:00;02.11.2024 07:00:00;1688.9;0;0;269.7;0;1486.9;0;697.8;1688.9;2454.4;765.5
02.11.2024 07:00:00;02.11.2024 08:00:00;1664;0;0;345;0;1507.3;0;758.5;1664;2610.8;946.8
02.11.2024 08:00:00;02.11.2024 09:00:00;1704.4;0;0;467.5;0;1544.9;0;757.2;1704.4;2769.6;1065.2
02.11.2024 09:00:00;02.11.2024 10:00:00;1643.1;0;0;504;0;1621.8;0;780.4;1643.1;2906.2;1263.1
02.11.2024 10:00:00;02.11.2024 11:00:00;1630.1;0;0;527.9;0;1692.7;0;791.2;1630.1;3011.8;1381.7
02.11.2024 11:00:00;02.11.2024 12:00:00;1796.6;0;0;592.6;0;1652.4;0;927.4;1796.6;3172.4;1375.8
02.11.2024 12:00:00;02.11.2024 13:00:00;1707.2;0;0;587.6;0;1655.8;0;822;1707.2;3065.4;1358.2
02.11.2024 13:00:00;02.11.2024 14:00:00;1635.9;0;0;606.5;0;1666.3;0;670.6;1635.9;2943.4;1307.5
02.11.2024 14:00:00;02.11.2024 15:00:00;1441.9;0;0;594.5;0;1734;0;407;1441.9;2735.5;1293.6
02.11.2024 15:00:00;02.11.2024 16:00:00;1259.8;0;0;580.2;0;1841.4;0;164.4;1259.8;2586;1326.2
02.11.2024 16:00:00;02.11.2024 17:00:00;1164.5;0;0;553.1;0;1988.8;0;21.2;1164.5;2563.1;1398.6
02.11.2024 17:00:00;02.11.2024 18:00:00;1140.7;0;0;512.7;0;2060.2;0;138.5;1140.7;2711.4;1570.7
02.11.2024 18:00:00;02.11.2024 19:00:00;1195.5;0;0;539.3;0;2069.3;0;180.8;1195.5;2789.4;1593.9
02.11.2024 19:00:00;02.11.2024 20:00:00;1350.5;0;0;547;0;1828.5;0;398.4;1350.5;2773.9;1423.4
02.11.2024 20:00:00;02.11.2024 21:00:00;1397.1;0;0;518.2;0;1786;0;435.4;1397.1;2739.6;1342.5
02.11.2024 21:00:00;02.11.2024 22:00:00;1408.1;0;0;489.7;0;1764.3;0;409.6;1408.1;2663.6;1255.5
02.11.2024 22:00:00;02.11.2024 23:00:00;1460;0;0;496.5;0;1602.6;0;419.9;1460;2519;1059
02.11.2024 23:00:00;03.11.2024 00:00:00;1744;0;0;564.4;0;1398.3;0;791.3;1744;2754;1010
03.11.2024 00:00:00;03.11.2024 01:00:00;1746.7;0;0;592.3;0;1597.1;0;619;1746.7;2808.4;1061.7
03.11.2024 01:00:00;03.11.2024 02:00:00;1920.1;0;0;636.9;0;1393.9;0;778.1;1920.1;2808.9;888.8
03.11.2024 02:00:00;03.11.2024 03:00:00;2036.7;0;0;623.9;0;1323;0;836;2036.7;2782.9;746.2
03.11.2024 03:00:00;03.11.2024 04:00:00;1972.4;0;0;592.7;0;1263.7;0;802.9;1972.4;2659.3;686.9
03.11.2024 04:00:00;03.11.2024 05:00:00;2014.9;0;0;584.8;0;1255.2;0;822;2014.9;2662;647.1
03.11.2024 05:00:00;03.11.2024 06:00:00;2008.3;0;0;602.4;0;1055.1;0;1000.2;2008.3;2657.7;649.4
03.11.2024 06:00:00;03.11.2024 07:00:00;2060.3;0;0;632.8;0;968.8;0;1182;2060.3;2783.6;723.3
03.11.2024 07:00:00;03.11.2024 08:00:00;2105.8;0;0;624.2;0;1031.7;0;1335.7;2105.8;2991.6;885.8
03.11.2024 08:00:00;03.11.2024 09:00:00;2142.8;0;0;618;0;1060.4;0;1489.3;2142.8;3167.7;1024.9
03.11.2024 09:00:00;03.11.2024 10:00:00;2110.2;0;0;607.2;0;1330;0;1285.6;2110.2;3222.8;1112.6
03.11.2024 10:00:00;03.11.2024 11:00:00;2097.4;0;0;597.6;0;1380.2;0;1321.6;2097.4;3299.4;1202
03.11.2024 11:00:00;03.11.2024 12:00:00;2099.1;0;0;557.8;0;1440.5;0;1226.7;2099.1;3225;1125.9
03.11.2024 12:00:00;03.11.2024 13:00:00;2108.6;0;0;496.8;0;1430.3;0;1239.5;2108.6;3166.6;1058
03.11.2024 13:00:00;03.11.2024 14:00:00;2115.6;0;0;473.4;0;1403.3;0;1305.4;2115.6;3182.1;1066.5
03.11.2024 14:00:00;03.11.2024 15:00:00;2048.2;0;0;446.1;0;1445.9;0;1248.8;2048.2;3140.8;1092.6
03.11.2024 15:00:00;03.11.2024 16:00:00;1869;0;0;393.1;0;1558.3;0;1087.5;1869;3038.9;1169.9
03.11.2024 16:00:00;03.11.2024 17:00:00;1653.4;0;0;380.8;0;1626.9;0;1070.3;1653.4;3078;1424.6
03.11.2024 17:00:00;03.11.2024 18:00:00;1643.7;0;0;379.4;0;1651.1;0;1087.7;1643.7;3118.2;1474.5
03.11.2024 18:00:00;03.11.2024 19:00:00;1789.3;0;0;424.3;0;1608.3;0;1229.3;1789.3;3261.9;1472.6
03.11.2024 19:00:00;03.11.2024 20:00:00;1739.5;0;0;407.3;0;1561.9;0;1226.3;1739.5;3195.5;1456
03.11.2024 20:00:00;03.11.2024 21:00:00;1725.8;0;0;382.1;0;1403.9;0;1359.5;1725.8;3145.5;1419.7
03.11.2024 21:00:00;03.11.2024 22:00:00;1787.3;0;0;363.5;0;1325.5;0;1403.2;1787.3;3092.2;1304.9
03.11.2024 22:00:00;03.11.2024 23:00:00;1828.6;0;0;347.7;0;1292.3;0;1403.4;1828.6;3043.4;1214.8
03.11.2024 23:00:00;04.11.2024 00:00:00;1840.6;0;0;356.7;0;1244.3;0;1329;1840.6;2930;1089.4
04.11.2024 00:00:00;04.11.2024 01:00:00;2022;0;0;327.7;0;1328.2;0;1449.1;2022;3105;1083
04.11.2024 01:00:00;04.11.2024 02:00:00;2007.2;0;0;354.4;0;1307.1;0;1415.2;2007.2;3076.7;1069.5
04.11.2024 02:00:00;04.11.2024 03:00:00;1850.6;0;0;370.8;0;1321.5;0;1174.6;1850.6;2866.9;1016.3
04.11.2024 03:00:00;04.11.2024 04:00:00;1830.7;0;0;466.2;0;1323;0;1019.4;1830.7;2808.6;977.9
04.11.2024 04:00:00;04.11.2024 05:00:00;1546.2;0;0;468;0;1307.8;0;784.9;1546.2;2560.7;1014.5
04.11.2024 05:00:00;04.11.2024 06:00:00;1197.2;0;0;433.7;0;1471.5;0;208.8;1197.2;2114;916.8
04.11.2024 06:00:00;04.11.2024 07:00:00;995.9;0;0;186.1;0;1779.7;0;397.8;995.9;2363.6;1367.7
04.11.2024 07:00:00;04.11.2024 08:00:00;1083.4;0;0;131;0;2637.3;0;294.1;1083.4;3062.4;1979
04.11.2024 08:00:00;04.11.2024 09:00:00;1267;0;0;276.6;0;2588.7;0;519.3;1267;3384.6;2117.6
04.11.2024 09:00:00;04.11.2024 10:00:00;1013.4;0;0;313.9;0;2302.5;0;464.1;1013.4;3080.5;2067.1
04.11.2024 10:00:00;04.11.2024 11:00:00;1145.2;0;0;298.8;0;2302.4;0;495.5;1145.2;3096.7;1951.5
04.11.2024 11:00:00;04.11.2024 12:00:00;1251.5;0;0;344.6;0;2153.6;0;423.4;1251.5;2921.6;1670.1
04.11.2024 12:00:00;04.11.2024 13:00:00;1330.3;0;0;334.7;0;2140.9;0;444.5;1330.3;2920.1;1589.8
04.11.2024 13:00:00;04.11.2024 14:00:00;1386.1;0;0;302.3;0;2106.1;0;496.4;1386.1;2904.8;1518.7
04.11.2024 14:00:00;04.11.2024 15:00:00;1342.6;0;0;279.3;0;2095.9;0;531;1342.6;2906.2;1563.6
04.11.2024 15:00:00;04.11.2024 16:00:00;1207;0;0;79.4;0;2205.2;0;536.7;1207;2821.3;1614.3
04.11.2024 16:00:00;04.11.2024 17:00:00;710.7;0;126.2;0;0;2456.3;0;186.5;836.9;2642.8;1805.9
04.11.2024 17:00:00;04.11.2024 18:00:00;741.8;0;108.2;0;0;2457.8;0;287.2;850;2745;1895
04.11.2024 18:00:00;04.11.2024 19:00:00;863.9;0;0;13.2;0;2391.5;0;526;863.9;2930.7;2066.8
04.11.2024 19:00:00;04.11.2024 20:00:00;1058;0;0;237.5;0;2182.9;0;618.8;1058;3039.2;1981.2
04.11.2024 20:00:00;04.11.2024 21:00:00;1132.1;0;0;188.8;0;2193.5;0;652.2;1132.1;3034.5;1902.4
04.11.2024 21:00:00;04.11.2024 22:00:00;1186;0;0;172.7;0;2115.6;0;689.6;1186;2977.9;1791.9
04.11.2024 22:00:00;04.11.2024 23:00:00;1264.6;0;0;193.6;0;2110;0;680.1;1264.6;2983.7;1719.1
04.11.2024 23:00:00;05.11.2024 00:00:00;1491.9;0;0;137.7;0;2042.3;0;665.6;1491.9;2845.6;1353.7
05.11.2024 00:00:00;05.11.2024 01:00:00;1479.6;0;0;285.4;0;1968.3;0;505.9;1479.6;2759.6;1280
