Delivery Start (CET);Delivery End (CET);NO2 Fossil Gas (MW);NO2 Hydro Pumped Storage (MW);NO2 Hydro Run Of River And Poundage (MW);NO2 Hydro Water Reservoir (MW);NO2 Waste (MW);NO2 Wind Onshore (MW);NO2 Total (MW)
01.01.2024 00:00:00;01.01.2024 01:00:00;14;1;372;1925;4;1153;3469
01.01.2024 01:00:00;01.01.2024 02:00:00;14;1;371;1567;4;1202;3159
01.01.2024 02:00:00;01.01.2024 03:00:00;14;1;362;1266;4;1202;2849
01.01.2024 03:00:00;01.01.2024 04:00:00;14;1;356;1026;4;1155;2556
01.01.2024 04:00:00;01.01.2024 05:00:00;14;1;351;984;4;1079;2433
01.01.2024 05:00:00;01.01.2024 06:00:00;14;1;347;1069;4;1163;2598
01.01.2024 06:00:00;01.01.2024 07:00:00;14;1;342;1174;4;1145;2680
01.01.2024 07:00:00;01.01.2024 08:00:00;14;1;351;1218;4;1071;2659
01.01.2024 08:00:00;01.01.2024 09:00:00;14;1;361;1196;4;1081;2657
01.01.2024 09:00:00;01.01.2024 10:00:00;14;1;407;1264;4;1087;2777
01.01.2024 10:00:00;01.01.2024 11:00:00;14;1;456;1563;4;1271;3309
01.01.2024 11:00:00;01.01.2024 12:00:00;14;1;499;1953;4;1299;3770
01.01.2024 12:00:00;01.01.2024 13:00:00;14;1;483;2564;4;1304;4370
01.01.2024 13:00:00;01.01.2024 14:00:00;14;1;491;2762;4;1306;4578
01.01.2024 14:00:00;01.01.2024 15:00:00;14;1;504;3224;4;1299;5046
01.01.2024 15:00:00;01.01.2024 16:00:00;14;1;512;3517;4;1305;5353
01.01.2024 16:00:00;01.01.2024 17:00:00;14;97;515;4303;4;1297;6230
01.01.2024 17:00:00;01.01.2024 18:00:00;14;158;517;4997;4;1294;6984
01.01.2024 18:00:00;01.01.2024 19:00:00;14;52;517;4593;4;1281;6461
01.01.2024 19:00:00;01.01.2024 20:00:00;14;1;526;4214;4;1287;6046
01.01.2024 20:00:00;01.01.2024 21:00:00;14;1;520;3162;4;1276;4977
01.01.2024 21:00:00;01.01.2024 22:00:00;14;1;515;2601;4;1269;4404
01.01.2024 22:00:00;01.01.2024 23:00:00;14;1;502;2227;4;1258;4006
01.01.2024 23:00:00;02.01.2024 00:00:00;14;1;497;1925;4;1257;3698
02.01.2024 00:00:00;02.01.2024 01:00:00;14;1;498;1638;4;1236;3391
02.01.2024 01:00:00;02.01.2024 02:00:00;14;1;499;1342;4;1215;3075
02.01.2024 02:00:00;02.01.2024 03:00:00;14;1;500;1255;4;1145;2919
02.01.2024 03:00:00;02.01.2024 04:00:00;14;1;497;1326;4;1024;2866
02.01.2024 04:00:00;02.01.2024 05:00:00;14;1;498;1216;4;995;2728
02.01.2024 05:00:00;02.01.2024 06:00:00;14;1;492;1485;4;951;2947
02.01.2024 06:00:00;02.01.2024 07:00:00;14;1;481;2069;4;1007;3576
02.01.2024 07:00:00;02.01.2024 08:00:00;14;1;508;3237;4;1004;4768
02.01.2024 08:00:00;02.01.2024 09:00:00;14;138;525;4727;4;981;6389
02.01.2024 09:00:00;02.01.2024 10:00:00;14;303;536;5629;4;973;7459
02.01.2024 10:00:00;02.01.2024 11:00:00;14;325;568;6481;4;951;8343
02.01.2024 11:00:00;02.01.2024 12:00:00;14;443;576;6442;4;951;8430
02.01.2024 12:00:00;02.01.2024 13:00:00;14;471;586;6626;4;927;8628
02.01.2024 13:00:00;02.01.2024 14:00:00;14;471;595;6758;4;899;8741
02.01.2024 14:00:00;02.01.2024 15:00:00;14;459;602;6774;4;945;8798
02.01.2024 15:00:00;02.01.2024 16:00:00;14;459;615;7038;4;894;9024
02.01.2024 16:00:00;02.01.2024 17:00:00;14;476;618;7070;4;867;9049
02.01.2024 17:00:00;02.01.2024 18:00:00;14;462;634;7001;4;855;8970
02.01.2024 18:00:00;02.01.2024 19:00:00;14;430;635;6403;4;775;8261
02.01.2024 19:00:00;02.01.2024 20:00:00;14;304;622;5433;4;684;7061
02.01.2024 20:00:00;02.01.2024 21:00:00;14;174;609;4772;4;638;6211
