Delivery Start (CET);Delivery End (CET);NO2 Fossil Gas (MW);NO2 Hydro Pumped Storage (MW);NO2 Hydro Run Of River And Poundage (MW);NO2 Hydro Water Reservoir (MW);NO2 Waste (MW);NO2 Wind Offshore (MW);NO2 Wind Onshore (MW);NO2 Total (MW)
01.01.2025 00:00:00;01.01.2025 01:00:00;13;0;644;1393;4;;1008;3062
01.01.2025 01:00:00;01.01.2025 02:00:00;14;0;643;1299;4;;956;2916
01.01.2025 02:00:00;01.01.2025 03:00:00;14;0;628;1322;4;;1013;2981
01.01.2025 03:00:00;01.01.2025 04:00:00;14;0;631;1295;5;;944;2889
01.01.2025 04:00:00;01.01.2025 05:00:00;14;0;625;1329;5;;755;2728
01.01.2025 05:00:00;01.01.2025 06:00:00;14;0;630;1352;5;;460;2461
01.01.2025 06:00:00;01.01.2025 07:00:00;14;0;647;1410;5;;415;2491
01.01.2025 07:00:00;01.01.2025 08:00:00;14;0;651;1527;5;;423;2620
01.01.2025 08:00:00;01.01.2025 09:00:00;12;0;671;1541;5;;282;2511
01.01.2025 09:00:00;01.01.2025 10:00:00;14;0;673;1696;5;;216;2604
01.01.2025 10:00:00;01.01.2025 11:00:00;13;0;680;2386;4;;197;3280
01.01.2025 11:00:00;01.01.2025 12:00:00;14;0;696;3054;4;;205;3973
01.01.2025 12:00:00;01.01.2025 13:00:00;13;0;698;3261;4;;197;4173
01.01.2025 13:00:00;01.01.2025 14:00:00;14;0;697;3315;4;;188;4218
01.01.2025 14:00:00;01.01.2025 15:00:00;14;0;699;3303;4;;206;4226
01.01.2025 15:00:00;01.01.2025 16:00:00;14;0;699;3410;4;;242;4369
01.01.2025 16:00:00;01.01.2025 17:00:00;14;0;694;3709;4;;292;4713
01.01.2025 17:00:00;01.01.2025 18:00:00;14;0;697;3799;4;;286;4800
01.01.2025 18:00:00;01.01.2025 19:00:00;14;0;699;3731;4;;268;4716
01.01.2025 19:00:00;01.01.2025 20:00:00;14;0;688;3622;4;;290;4618
01.01.2025 20:00:00;01.01.2025 21:00:00;14;0;681;3609;4;;291;4599
01.01.2025 21:00:00;01.01.2025 22:00:00;14;0;694;3756;4;;233;4701
01.01.2025 22:00:00;01.01.2025 23:00:00;14;0;691;3691;4;;228;4628
01.01.2025 23:00:00;02.01.2025 00:00:00;14;0;690;3385;4;;282;4375
02.01.2025 00:00:00;02.01.2025 01:00:00;14;0;680;3425;4;;356;4479
02.01.2025 01:00:00;02.01.2025 02:00:00;14;0;680;3381;4;;301;4380
02.01.2025 02:00:00;02.01.2025 03:00:00;14;0;675;3319;4;;287;4299
02.01.2025 03:00:00;02.01.2025 04:00:00;14;0;688;3576;4;;346;4628
02.01.2025 04:00:00;02.01.2025 05:00:00;14;1;706;4068;4;;452;5245
02.01.2025 05:00:00;02.01.2025 06:00:00;14;248;725;5383;4;;495;6869
02.01.2025 06:00:00;02.01.2025 07:00:00;14;401;755;6683;4;;468;8325
02.01.2025 07:00:00;02.01.2025 08:00:00;14;377;788;7322;4;;435;8940
02.01.2025 08:00:00;02.01.2025 09:00:00;14;406;821;7540;5;;374;9160
02.01.2025 09:00:00;02.01.2025 10:00:00;14;482;848;8019;5;;448;9816
02.01.2025 10:00:00;02.01.2025 11:00:00;14;504;858;7786;5;;716;9883
02.01.2025 11:00:00;02.01.2025 12:00:00;14;504;875;8000;4;;717;10114
02.01.2025 12:00:00;02.01.2025 13:00:00;14;503;888;7963;4;;731;10103
02.01.2025 13:00:00;02.01.2025 14:00:00;14;462;895;7857;4;;845;10077
02.01.2025 14:00:00;02.01.2025 15:00:00;14;477;895;7909;4;;899;10198
02.01.2025 15:00:00;02.01.2025 16:00:00;14;498;893;7986;4;;942;10337
02.01.2025 16:00:00;02.01.2025 17:00:00;14;487;886;8071;4;;1023;10485
02.01.2025 17:00:00;02.01.2025 18:00:00;14;447;892;7722;4;;868;9947
02.01.2025 18:00:00;02.01.2025 19:00:00;14;446;896;7688;4;;714;9762
02.01.2025 19:00:00;02.01.2025 20:00:00;14;501;900;7895;4;;490;9804
02.01.2025 20:00:00;02.01.2025 21:00:00;14;491;895;7833;4;;234;9471
02.01.2025 21:00:00;02.01.2025 22:00:00;14;498;906;7806;4;;145;9373
02.01.2025 22:00:00;02.01.2025 23:00:00;14;504;906;7746;4;;319;9493
02.01.2025 23:00:00;03.01.2025 00:00:00;14;487;898;7569;4;;646;9618
03.01.2025 00:00:00;03.01.2025 01:00:00;14;395;875;7644;4;;1190;10122
03.01.2025 01:00:00;03.01.2025 02:00:00;14;379;872;7179;4;;1155;9603
03.01.2025 02:00:00;03.01.2025 03:00:00;14;371;871;6826;4;;1111;9197
03.01.2025 03:00:00;03.01.2025 04:00:00;14;347;859;6475;4;;1126;8825
03.01.2025 04:00:00;03.01.2025 05:00:00;14;322;849;6253;4;;1082;8524
03.01.2025 05:00:00;03.01.2025 06:00:00;14;333;843;6475;4;;1065;8734
03.01.2025 06:00:00;03.01.2025 07:00:00;14;302;845;6987;4;;1045;9197
03.01.2025 07:00:00;03.01.2025 08:00:00;14;372;874;7482;4;;1009;9755
03.01.2025 08:00:00;03.01.2025 09:00:00;13;444;878;7692;4;;961;9992
03.01.2025 09:00:00;03.01.2025 10:00:00;14;441;883;7824;4;;939;10105
03.01.2025 10:00:00;03.01.2025 11:00:00;14;442;888;7901;4;;925;10174
03.01.2025 11:00:00;03.01.2025 12:00:00;14;475;891;7931;4;;925;10240
03.01.2025 12:00:00;03.01.2025 13:00:00;14;481;889;8110;4;;820;10318
03.01.2025 13:00:00;03.01.2025 14:00:00;14;454;893;8014;4;;807;10186
03.01.2025 14:00:00;03.01.2025 15:00:00;14;421;893;7750;4;;833;9915
03.01.2025 15:00:00;03.01.2025 16:00:00;14;471;891;7836;4;;896;10112
03.01.2025 16:00:00;03.01.2025 17:00:00;14;416;886;7792;4;;855;9967
03.01.2025 17:00:00;03.01.2025 18:00:00;14;465;885;7811;4;;783;9962
03.01.2025 18:00:00;03.01.2025 19:00:00;14;407;883;7757;4;;765;9830
03.01.2025 19:00:00;03.01.2025 20:00:00;15;400;884;7728;4;;738;9769
03.01.2025 20:00:00;03.01.2025 21:00:00;14;401;883;7635;4;;556;9493
03.01.2025 21:00:00;03.01.2025 22:00:00;14;401;883;7803;4;;317;9422
03.01.2025 22:00:00;03.01.2025 23:00:00;14;485;875;8091;4;;180;9649
03.01.2025 23:00:00;04.01.2025 00:00:00;14;503;874;8058;4;;116;9569
04.01.2025 00:00:00;04.01.2025 01:00:00;14;505;849;8315;4;;160;9847
04.01.2025 01:00:00;04.01.2025 02:00:00;14;495;860;8014;4;;196;9583
04.01.2025 02:00:00;04.01.2025 03:00:00;14;488;863;7539;4;;162;9070
04.01.2025 03:00:00;04.01.2025 04:00:00;14;489;855;7517;4;;89;8968
04.01.2025 04:00:00;04.01.2025 05:00:00;14;495;849;7591;4;;66;9019
04.01.2025 05:00:00;04.01.2025 06:00:00;14;506;841;7639;4;;73;9077
04.01.2025 06:00:00;04.01.2025 07:00:00;14;471;852;7978;4;;70;9389
04.01.2025 07:00:00;04.01.2025 08:00:00;13;459;873;8014;4;;55;9418
