wind_actual,Activation,Probability,wind_actual Mid
"(-0.38, 12.667]",none,0.5629394420503515,6.1434999999999995
"(-0.38, 12.667]",down,0.3269448854615559,6.1434999999999995
"(-0.38, 12.667]",up,0.11011567248809254,6.1434999999999995
"(12.667, 25.333]",none,0.5747275078514686,19.0
"(12.667, 25.333]",down,0.3090707555883983,19.0
"(12.667, 25.333]",up,0.11620173656013301,19.0
"(25.333, 38.0]",none,0.5752389419871082,31.6665
"(25.333, 38.0]",down,0.30362302733940877,31.6665
"(25.333, 38.0]",up,0.121138030673483,31.6665
"(38.0, 50.667]",none,0.5800796812749004,44.3335
"(38.0, 50.667]",down,0.30783532536520586,44.3335
"(38.0, 50.667]",up,0.11208499335989376,44.3335
"(50.667, 63.333]",none,0.5890263582571275,57.0
"(50.667, 63.333]",down,0.31199569661108123,57.0
"(50.667, 63.333]",up,0.09897794513179128,57.0
"(63.333, 76.0]",none,0.5594951923076923,69.6665
"(63.333, 76.0]",down,0.33774038461538464,69.6665
"(63.333, 76.0]",up,0.10276442307692307,69.6665
"(76.0, 88.667]",none,0.5292983808789514,82.3335
"(76.0, 88.667]",down,0.3573631457208944,82.3335
"(76.0, 88.667]",up,0.1133384734001542,82.3335
"(88.667, 101.333]",none,0.5625730994152047,95.0
"(88.667, 101.333]",down,0.3142300194931774,95.0
"(88.667, 101.333]",up,0.12319688109161793,95.0
"(101.333, 114.0]",none,0.5831019436731456,107.6665
"(101.333, 114.0]",down,0.3050376834589449,107.6665
"(101.333, 114.0]",up,0.11186037286790956,107.6665
"(114.0, 126.667]",none,0.5583070688878884,120.3335
"(114.0, 126.667]",down,0.2886087348041423,120.3335
"(114.0, 126.667]",up,0.15308419630796938,120.3335
"(126.667, 139.333]",none,0.5766787658802178,133.0
"(126.667, 139.333]",down,0.2962794918330309,133.0
"(126.667, 139.333]",up,0.12704174228675136,133.0
"(139.333, 152.0]",none,0.5781741867785939,145.66649999999998
"(139.333, 152.0]",down,0.2953830010493179,145.66649999999998
"(139.333, 152.0]",up,0.12644281217208814,145.66649999999998
"(152.0, 164.667]",none,0.5794621026894865,158.33350000000002
"(152.0, 164.667]",down,0.269559902200489,158.33350000000002
"(152.0, 164.667]",up,0.15097799511002444,158.33350000000002
"(164.667, 177.333]",none,0.5622857142857143,171.0
"(164.667, 177.333]",down,0.2782857142857143,171.0
"(164.667, 177.333]",up,0.15942857142857142,171.0
"(177.333, 190.0]",none,0.5691768826619965,183.66649999999998
"(177.333, 190.0]",down,0.28488032691185056,183.66649999999998
"(177.333, 190.0]",up,0.14594279042615294,183.66649999999998
"(190.0, 202.667]",none,0.5830437804030577,196.33350000000002
"(190.0, 202.667]",down,0.26685198054204307,196.33350000000002
"(190.0, 202.667]",up,0.15010423905489922,196.33350000000002
"(202.667, 215.333]",none,0.5979043876882777,209.0
"(202.667, 215.333]",down,0.2888015717092338,209.0
"(202.667, 215.333]",up,0.11329404060248854,209.0
"(215.333, 228.0]",none,0.58008356545961,221.66649999999998
"(215.333, 228.0]",down,0.27158774373259054,221.66649999999998
"(215.333, 228.0]",up,0.14832869080779945,221.66649999999998
"(228.0, 240.667]",none,0.5166261151662611,234.33350000000002
"(228.0, 240.667]",down,0.308191403081914,234.33350000000002
"(228.0, 240.667]",up,0.17518248175182483,234.33350000000002
"(240.667, 253.333]",none,0.5261726716519375,247.0
"(240.667, 253.333]",down,0.30931339225016996,247.0
"(240.667, 253.333]",up,0.16451393609789258,247.0
"(253.333, 266.0]",none,0.5368421052631579,259.6665
"(253.333, 266.0]",down,0.30394736842105263,259.6665
"(253.333, 266.0]",up,0.15921052631578947,259.6665
"(266.0, 278.667]",none,0.5465587044534413,272.33349999999996
"(266.0, 278.667]",down,0.2736842105263158,272.33349999999996
"(266.0, 278.667]",up,0.1797570850202429,272.33349999999996
"(278.667, 291.333]",none,0.5504385964912281,285.0
"(278.667, 291.333]",down,0.29751461988304095,285.0
"(278.667, 291.333]",up,0.15204678362573099,285.0
"(291.333, 304.0]",none,0.5857385398981324,297.66650000000004
"(291.333, 304.0]",down,0.2631578947368421,297.66650000000004
"(291.333, 304.0]",up,0.15110356536502548,297.66650000000004
"(304.0, 316.667]",none,0.6048171275646744,310.33349999999996
"(304.0, 316.667]",down,0.2408563782337199,310.33349999999996
"(304.0, 316.667]",up,0.1543264942016057,310.33349999999996
"(316.667, 329.333]",none,0.623059866962306,323.0
"(316.667, 329.333]",down,0.2616407982261641,323.0
"(316.667, 329.333]",up,0.11529933481152993,323.0
"(329.333, 342.0]",none,0.5944055944055944,335.66650000000004
"(329.333, 342.0]",down,0.2703962703962704,335.66650000000004
"(329.333, 342.0]",up,0.1351981351981352,335.66650000000004
"(342.0, 354.667]",none,0.5718475073313783,348.33349999999996
"(342.0, 354.667]",down,0.2961876832844575,348.33349999999996
"(342.0, 354.667]",up,0.13196480938416422,348.33349999999996
"(354.667, 367.333]",none,0.5257731958762887,361.0
"(354.667, 367.333]",down,0.3784977908689249,361.0
"(354.667, 367.333]",up,0.09572901325478646,361.0
"(367.333, 380.0]",none,0.5807692307692308,373.66650000000004
"(367.333, 380.0]",down,0.3923076923076923,373.66650000000004
"(367.333, 380.0]",up,0.026923076923076925,373.66650000000004
