wind_share,Activation,Probability,wind_share Mid
"(-0.000228, 0.00761]",none,0.5733574988672406,0.003691
"(-0.000228, 0.00761]",down,0.3114635251472587,0.003691
"(-0.000228, 0.00761]",up,0.11517897598550068,0.003691
"(0.00761, 0.0152]",none,0.5923838537699924,0.011405
"(0.00761, 0.0152]",down,0.28895658796648893,0.011405
"(0.00761, 0.0152]",up,0.11865955826351866,0.011405
"(0.0152, 0.0228]",none,0.5949461166852471,0.019
"(0.0152, 0.0228]",down,0.2931995540691193,0.019
"(0.0152, 0.0228]",up,0.1118543292456336,0.019
"(0.0228, 0.0304]",none,0.5750266808964781,0.0266
"(0.0228, 0.0304]",down,0.32209178228388474,0.0266
"(0.0228, 0.0304]",up,0.10288153681963715,0.0266
"(0.0304, 0.038]",none,0.5518672199170125,0.0342
"(0.0304, 0.038]",down,0.3519648523309739,0.0342
"(0.0304, 0.038]",up,0.09616792775201367,0.0342
"(0.038, 0.0457]",none,0.5638506876227898,0.04185
"(0.038, 0.0457]",down,0.30760595004209934,0.04185
"(0.038, 0.0457]",up,0.12854336233511085,0.04185
"(0.0457, 0.0533]",none,0.5579050097592713,0.0495
"(0.0457, 0.0533]",down,0.30123617436564737,0.0495
"(0.0457, 0.0533]",up,0.14085881587508134,0.0495
"(0.0533, 0.0609]",none,0.5709768095572734,0.0571
"(0.0533, 0.0609]",down,0.29128601546029514,0.0571
"(0.0533, 0.0609]",up,0.1377371749824315,0.0571
"(0.0609, 0.0685]",none,0.5796010538200979,0.06470000000000001
"(0.0609, 0.0685]",down,0.2890477982687241,0.06470000000000001
"(0.0609, 0.0685]",up,0.13135114791117802,0.06470000000000001
"(0.0685, 0.0761]",none,0.5517774343122102,0.0723
"(0.0685, 0.0761]",down,0.28091190108191655,0.0723
"(0.0685, 0.0761]",up,0.16731066460587327,0.0723
"(0.0761, 0.0837]",none,0.5420479302832244,0.0799
"(0.0761, 0.0837]",down,0.30152505446623096,0.0799
"(0.0761, 0.0837]",up,0.15642701525054467,0.0799
"(0.0837, 0.0913]",none,0.5660881174899867,0.0875
"(0.0837, 0.0913]",down,0.2955051179350245,0.0875
"(0.0837, 0.0913]",up,0.13840676457498888,0.0875
"(0.0913, 0.0989]",none,0.5730166750884285,0.0951
"(0.0913, 0.0989]",down,0.2900454775138959,0.0951
"(0.0913, 0.0989]",up,0.1369378473976756,0.0951
"(0.0989, 0.107]",none,0.5399556048834628,0.10295
"(0.0989, 0.107]",down,0.27358490566037735,0.10295
"(0.0989, 0.107]",up,0.1864594894561598,0.10295
"(0.107, 0.114]",none,0.5211706102117061,0.1105
"(0.107, 0.114]",down,0.2845579078455791,0.1105
"(0.107, 0.114]",up,0.19427148194271482,0.1105
"(0.114, 0.122]",none,0.5858444288717589,0.118
"(0.114, 0.122]",down,0.27890679747722497,0.118
"(0.114, 0.122]",up,0.13524877365101612,0.118
"(0.122, 0.129]",none,0.5637119113573407,0.1255
"(0.122, 0.129]",down,0.2804709141274238,0.1255
"(0.122, 0.129]",up,0.15581717451523547,0.1255
"(0.129, 0.137]",none,0.6099439775910365,0.133
"(0.129, 0.137]",down,0.2535014005602241,0.133
"(0.129, 0.137]",up,0.13655462184873948,0.133
"(0.137, 0.145]",none,0.5925925925925926,0.14100000000000001
"(0.137, 0.145]",down,0.2938808373590982,0.14100000000000001
"(0.137, 0.145]",up,0.11352657004830918,0.14100000000000001
"(0.145, 0.152]",none,0.581081081081081,0.1485
"(0.145, 0.152]",down,0.32263513513513514,0.1485
"(0.145, 0.152]",up,0.09628378378378379,0.1485
"(0.152, 0.16]",none,0.4762550881953867,0.156
"(0.152, 0.16]",down,0.4287652645861601,0.156
"(0.152, 0.16]",up,0.09497964721845319,0.156
"(0.16, 0.167]",none,0.5257731958762887,0.1635
"(0.16, 0.167]",down,0.4041237113402062,0.1635
"(0.16, 0.167]",up,0.07010309278350516,0.1635
"(0.167, 0.175]",none,0.4780058651026393,0.17099999999999999
"(0.167, 0.175]",down,0.4633431085043988,0.17099999999999999
"(0.167, 0.175]",up,0.05865102639296188,0.17099999999999999
"(0.175, 0.183]",none,0.45454545454545453,0.179
"(0.175, 0.183]",down,0.4072727272727273,0.179
"(0.175, 0.183]",up,0.13818181818181818,0.179
"(0.183, 0.19]",none,0.489010989010989,0.1865
"(0.183, 0.19]",down,0.38461538461538464,0.1865
"(0.183, 0.19]",up,0.12637362637362637,0.1865
"(0.19, 0.198]",none,0.45698924731182794,0.194
"(0.19, 0.198]",down,0.44086021505376344,0.194
"(0.19, 0.198]",up,0.10215053763440861,0.194
"(0.198, 0.205]",none,0.5943396226415094,0.2015
"(0.198, 0.205]",down,0.27358490566037735,0.2015
"(0.198, 0.205]",up,0.1320754716981132,0.2015
"(0.205, 0.213]",none,0.6129032258064516,0.209
"(0.205, 0.213]",down,0.3548387096774194,0.209
"(0.205, 0.213]",up,0.03225806451612903,0.209
"(0.213, 0.221]",none,0.6551724137931034,0.217
"(0.213, 0.221]",down,0.3103448275862069,0.217
"(0.213, 0.221]",up,0.034482758620689655,0.217
"(0.221, 0.228]",down,1.0,0.2245
"(0.221, 0.228]",none,0.0,0.2245
"(0.221, 0.228]",up,0.0,0.2245
